原文	填写中文
Prosperity Ring	繁榮戒指
Prosperity Ring [Lv26]	繁榮戒指［Lv26］
Prosperity Ring [Lv30]	繁榮戒指［Lv30］
Prosperity Ring [Lv34]	繁榮戒指［Lv34］
Prosperity Ring [Lv38]	繁榮戒指［Lv38］
Prosperity Ring [Lv42]	繁榮戒指［Lv42］
Prosperity Ring [Lv46]	繁榮戒指［Lv46］
Prosperity Ring [Lv50]	繁榮戒指［Lv50］
Prosperity Ring [Lv53]	繁榮戒指［Lv53］
Prosperity Ring [Lv55]	繁榮戒指［Lv55］
BO Double Ring [Lv30]	BO 雙連戒指［Lv30］
BO Double Ring [Lv35]	BO 雙連戒指［Lv35］
BO Double Ring [Lv40]	BO 雙連戒指［Lv40］
BO Double Ring [Lv45]	BO 雙連戒指［Lv45］
BO Double Ring [Lv50]	BO 雙連戒指［Lv50］
BO Double Ring [Lv55]	BO 雙連戒指［Lv55］
BO Double Ring [Lv65]	BO 雙連戒指［Lv65］
BN Double Ring [Lv30]	BN 雙連戒指［Lv30］
BN Double Ring [Lv35]	BN 雙連戒指［Lv35］
BN Double Ring [Lv40]	BN 雙連戒指［Lv40］
BN Double Ring [Lv45]	BN 雙連戒指［Lv45］
BN Double Ring [Lv50]	BN 雙連戒指［Lv50］
BN Double Ring [Lv55]	BN 雙連戒指［Lv55］
BN Double Ring [Lv65]	BN 雙連戒指［Lv65］
ON Double Ring [Lv30]	ON 雙連戒指［Lv30］
ON Double Ring [Lv35]	ON 雙連戒指［Lv35］
ON Double Ring [Lv40]	ON 雙連戒指［Lv40］
ON Double Ring [Lv45]	ON 雙連戒指［Lv45］
ON Double Ring [Lv50]	ON 雙連戒指［Lv50］
ON Double Ring [Lv55]	ON 雙連戒指［Lv55］
ON Double Ring [Lv65]	ON 雙連戒指［Lv65］
Autumn Ring	秋日戒指
Autumn Ring [Lv25]	秋日戒指［Lv25］
Autumn Ring [Lv30]	秋日戒指［Lv30］
Autumn Ring [Lv35]	秋日戒指［Lv35］
Autumn Ring [Lv40]	秋日戒指［Lv40］
Autumn Ring [Lv45]	秋日戒指［Lv45］
Autumn Ring [Lv50]	秋日戒指［Lv50］
Autumn Ring [Lv55]	秋日戒指［Lv55］
Autumn Ring [Lv65]	秋日戒指［Lv65］
Images Ring [Lv30]	影像戒指［Lv30］
Images Ring [Lv35]	影像戒指［Lv35］
Images Ring [Lv40]	影像戒指［Lv40］
Images Ring [Lv45]	影像戒指［Lv45］
Images Ring [Lv50]	影像戒指［Lv50］
Images Ring [Lv55]	影像戒指［Lv55］
Images Ring [Lv65]	影像戒指［Lv65］
Lovers Ring [Lv30]	戀人戒指［Lv30］
Lovers Ring [Lv35]	戀人戒指［Lv35］
Lovers Ring [Lv40]	戀人戒指［Lv40］
Lovers Ring [Lv45]	戀人戒指［Lv45］
Lovers Ring [Lv50]	戀人戒指［Lv50］
Lovers Ring [Lv55]	戀人戒指［Lv55］
Lovers Ring [Lv65]	戀人戒指［Lv65］
Intermediate Ring	中級戒指
Intermediate Ring [Lv30]	中級戒指［Lv30］
Intermediate Ring [Lv35]	中級戒指［Lv35］
Intermediate Ring [Lv40]	中級戒指［Lv40］
Intermediate Ring [Lv45]	中級戒指［Lv45］
Intermediate Ring [Lv50]	中級戒指［Lv50］
Intermediate Ring [Lv55]	中級戒指［Lv55］
Intermediate Ring [Lv65]	中級戒指［Lv65］
Personalized Ring [Lv30]	個性戒指［Lv30］
Personalized Ring [Lv35]	個性戒指［Lv35］
Personalized Ring [Lv40]	個性戒指［Lv40］
Personalized Ring [Lv45]	個性戒指［Lv45］
Personalized Ring [Lv50]	個性戒指［Lv50］
Personalized Ring [Lv55]	個性戒指［Lv55］
Personalized Ring [Lv65]	個性戒指［Lv65］
Imperial Ring	帝國戒指
Imperial Ring [Lv30]	帝國戒指［Lv30］
Imperial Ring [Lv35]	帝國戒指［Lv35］
Imperial Ring [Lv40]	帝國戒指［Lv40］
Imperial Ring [Lv45]	帝國戒指［Lv45］
Imperial Ring [Lv50]	帝國戒指［Lv50］
Imperial Ring [Lv55]	帝國戒指［Lv55］
Imperial Ring [Lv65]	帝國戒指［Lv65］
Love Ring	愛心戒指
Caution Ring	警戒戒指
Miss Ring	小姐戒指
Discipline Ring [Lv65]	紀律戒指［Lv65］
Assumption Earring	假設耳環
Assumption Earring [LV21]	假設耳環［Lv21］
Assumption Earring [LV26]	假設耳環［Lv26］
Assumption Earring [LV30]	假設耳環［Lv30］
Assumption Earring [LV34]	假設耳環［Lv34］
Assumption Earring [LV38]	假設耳環［Lv38］
Assumption Earring [LV42]	假設耳環［Lv42］
Assumption Earring [LV46]	假設耳環［Lv46］
Assumption Earring [LV50]	假設耳環［Lv50］
Assumption Earring [LV53]	假設耳環［Lv53］
Assumption Earring [LV55]	假設耳環［Lv55］
God Earring [Lv21]	神之耳環［Lv21］
God Earring [Lv26]	神之耳環［Lv26］
God Earring [Lv30]	神之耳環［Lv30］
God Earring [Lv34]	神之耳環［Lv34］
God Earring [Lv38]	神之耳環［Lv38］
God Earring [Lv42]	神之耳環［Lv42］
God Earring [Lv46]	神之耳環［Lv46］
