原文	填写中文
Hakai Ascend Kit	破壞升階套件
NEW HAIR	新髮型
NEW HAIR S	新髮型 S
GM Only Item	GM 專用道具
UNKS XENO	未知異次元
Imperator	皇帝
Event Drop	活動掉落
Super Saiyan Founder Pack	超級賽亞人創始人禮包
EXP Event Box	經驗活動禮包
Super Package	超級禮包
Flexarot Lv1	弗萊薩洛特 Lv1
Flexarot Lv2	弗萊薩洛特 Lv2
Flexarot Lv3	弗萊薩洛特 Lv3
Flexarot Lv4	弗萊薩洛特 Lv4
Akeno Dogi	朱音道服
CC F32	CC F32
Donaterszero	贊助者 Zero
Godofdestructionawk	破壞神覺醒
Firestormawk	火風暴覺醒
Lightningstormawk	雷風暴覺醒
Venonstormawk	毒風暴覺醒
Xmasevent	聖誕活動
Bip01 Head	Bip01 頭部
Caliban El Fantasma Blanco	卡利班・白色幽靈
Caliban El Fantasma Azul	卡利班・藍色幽靈
Caliban El Fantasma Rojo	卡利班・紅色幽靈
Caliban El Fantasma Verde	卡利班・綠色幽靈
Caliban El Fantasma Violeta	卡利班・紫色幽靈
Morado	莫拉多
