原文	填写中文
[Modified] Eagle Jet Helmet	［改造］老鷹噴射頭盔
Wonder Majin Protector Top	意魔人防護上衣
Wonder Majin Protector Shoes	意魔人防護鞋子
Wonder Majin Protector Pants	意魔人防護下裝
Wolf Set Capsules	狼套裝膠囊
Winter Ring [Lv55]	冬季戒指［Lv55］
Winter Ring [Lv50]	冬季戒指［Lv50］
Winter Ring [Lv45]	冬季戒指［Lv45］
Winter Ring [Lv40]	冬季戒指［Lv40］
Winter Ring [Lv35]	冬季戒指［Lv35］
Winter Ring [Lv30]	冬季戒指［Lv30］
Winter Ring [Lv25]	冬季戒指［Lv25］
Winter Ring	冬季戒指
Winter Magic Top	冬季魔法上衣
Winter Magic Shoes	冬季魔法鞋子
Winter Magic Pants	冬季魔法下裝
Winter Earring	冬季耳環
Winners Clothes Shop	優勝者服裝店
Wind Breaking Gloves	破風手套
Wind Break Gauntlets	破風護手
Wild Nature Lotus Magic Suit (Top)	野性蓮花魔法套裝（上衣）
Wild Nature Lotus Magic Suit (Top) R	野性蓮花魔法套裝（上衣）R
Wild Nature Lotus Magic Suit (Top) L	野性蓮花魔法套裝（上衣）L
Wild Nature Lotus Magic Suit (Top) EX	野性蓮花魔法套裝（上衣）EX
Wild Nature Lotus Magic Suit (Shoes)	野性蓮花魔法套裝（鞋子）
Wild Nature Lotus Magic Suit (Shoes) R	野性蓮花魔法套裝（鞋子）R
Wild Nature Lotus Magic Suit (Shoes) L	野性蓮花魔法套裝（鞋子）L
Wild Nature Lotus Magic Suit (Shoes) EX	野性蓮花魔法套裝（鞋子）EX
Wild Nature Lotus Magic Suit (Pants)	野性蓮花魔法套裝（下裝）
Wild Nature Lotus Magic Suit (Pants) R	野性蓮花魔法套裝（下裝）R
Wild Nature Lotus Magic Suit (Pants) L	野性蓮花魔法套裝（下裝）L
Wild Nature Lotus Magic Suit (Pants) EX	野性蓮花魔法套裝（下裝）EX
Wild Nature Bliss Magic Suit (Top)	野性極樂魔法套裝（上衣）
Wild Nature Bliss Magic Suit (Shoes)	野性極樂魔法套裝（鞋子）
Wild Nature Bliss Magic Suit (Pants)	野性極樂魔法套裝（下裝）
Whitehorse Shoes	白馬鞋子
White Horse Shoes	白馬鞋子
Whirlpool Ray Ring	漩渦射線戒指
West Side King Gloves	西邊王手套
West Leather Shoes	西部皮鞋
West Lake Leather Shoes	西湖皮鞋
Weird Processed Mushroom Box	怪異加工蘑菇禮包
Wear Off Shoes	磨損鞋子
Wave Skin Pants	波紋皮膚下裝
Wave Measuring Device	波動測量裝置
Wave Interference Ring [7 Days]	波動干擾戒指［7 天］
Watch Dog Gloves	看門狗手套
Watch Dog Gauntlets	看門狗護手
Warriors Game Shoes	戰士遊戲鞋子
Warriors Game Majin Pants	戰士遊戲魔人下裝
Warriors Game Majin Clothes	戰士遊戲魔人服裝
Warrior-shirt adhering sawdust	附著鋸屑的戰士上衣
Warm Sensitive Clothes	溫感服裝
Warm Mounted Rebels Capsule A	溫暖騎乘叛軍膠囊 A
Warm Magic Top	溫暖魔法上衣
Warm Magic Shoes	溫暖魔法鞋子
Warm Magic Pants	溫暖魔法下裝
Warlike Wonder Majin King Top	好戰意魔人王上衣
Warlike Wonder Majin King Shoes	好戰意魔人王鞋子
Warlike Wonder Majin King Pants	好戰意魔人王下裝
Warlike Valkyrie Top	好戰女武神上衣
Warlike Valkyrie Shoes	好戰女武神鞋子
Warlike Valkyrie Pants	好戰女武神下裝
Warlike Mighty Majin King Top	好戰強力魔人王上衣
Warlike Mighty Majin King Shoes	好戰強力魔人王鞋子
Warlike Mighty Majin King Pants	好戰強力魔人王下裝
Warlike Material Arts Top	好戰武道上衣
Warlike Material Arts Shoes	好戰武道鞋子
Warlike Material Arts Pants	好戰武道下裝
Warlike Energy Top	好戰能量上衣
Warlike Energy Shoes	好戰能量鞋子
Warlike Energy Pants	好戰能量下裝
Wandering Worker	徘徊工人
Wandering Supervising Robot	徘徊監督機器人
Wandering Robot	徘徊機器人
Wandering Mole Cricket	徘徊螻蛄
Wandering Frieza's Invader	徘徊弗利薩侵略者
Wandering Deserter	徘徊逃兵
WP Random Material Capsule	WP 隨機材料膠囊
WBossV2 necklace DIVINE	WBossV2 項鍊 DIVINE
Vortex Trumpet	漩渦小號
Volition Axe	意志之斧
Volcano Spirit Top	火山精靈上衣
Volcano Spirit Pants	火山精靈下裝
Volcanic Stone Saibaman	火山石菜花人
Vitality Magic Top	活力魔法上衣
Violence Gloves	暴力手套
Y Short Mountaineering Gauntlets R	Y 短款登山護手 R
X P Insect Exoskeleton Gauntlets R	X P 昆蟲外骨骼護手 R
X E Limited Edition Alpha Gloves R	X E 限定版阿爾法手套 R
