原文	填写中文
Speeding Beast No.1 [1 Day]	疾馳野獸 1 號［1 天］
Speeding Beast No.1 [7 Days]	疾馳野獸 1 號［7 天］
Speeding Beast No.1 [15 Days]	疾馳野獸 1 號［15 天］
Speeding Beast No.1 [30 Days]	疾馳野獸 1 號［30 天］
Speeding Beast No.1 [90 Days]	疾馳野獸 1 號［90 天］
Speeding Beast No.1 [Permanent]	疾馳野獸 1 號［永久］
Speeding Beast No.2 [1 Day]	疾馳野獸 2 號［1 天］
Speeding Beast No.2 [7 Days]	疾馳野獸 2 號［7 天］
Speeding Beast No.2 [15 Days]	疾馳野獸 2 號［15 天］
Speeding Beast No.2 [30 Days]	疾馳野獸 2 號［30 天］
Speeding Beast No.2 [90 Days]	疾馳野獸 2 號［90 天］
Speeding Beast No.2 [Permanent]	疾馳野獸 2 號［永久］
Speeding Beast No.3 [1 Day]	疾馳野獸 3 號［1 天］
Speeding Beast No.3 [7 Days]	疾馳野獸 3 號［7 天］
Speeding Beast No.3 [15 Days]	疾馳野獸 3 號［15 天］
Speeding Beast No.3 [30 Days]	疾馳野獸 3 號［30 天］
Speeding Beast No.3 [90 Days]	疾馳野獸 3 號［90 天］
Speeding Beast No.3 [Permanent]	疾馳野獸 3 號［永久］
Speeding Beast No.4 [1 Day]	疾馳野獸 4 號［1 天］
Speeding Beast No.4 [7 Days]	疾馳野獸 4 號［7 天］
Speeding Beast No.4 [15 Days]	疾馳野獸 4 號［15 天］
Speeding Beast No.4 [30 Days]	疾馳野獸 4 號［30 天］
Speeding Beast No.4 [90 Days]	疾馳野獸 4 號［90 天］
Speeding Beast No.4 [Permanent]	疾馳野獸 4 號［永久］
Speed Potion [2x]	速度藥水［2 倍］
Speed Potion [5x]	速度藥水［5 倍］
Speed Potion [10x]	速度藥水［10 倍］
Speed Potion [20x]	速度藥水［20 倍］
Speed Up	速度提升
Speed Up Duration Rise	速度提升持續時間增加
Speed Restrain	速度束縛
Speed Reduce	速度降低
Speeding Shoes	疾馳鞋
Storm Speed	暴風速度
Shoot Speed	射擊速度
Movement Speed	移動速度
Sharp Beast	銳利野獸
Speed Adventure Package	速度冒險禮包
Speed Combat Shoes TYPE-B	速度戰鬥鞋 TYPE-B
Speed Combat Shoes TYPE-C	速度戰鬥鞋 TYPE-C
Speed Combat Pants TYPE-B	速度戰鬥下裝 TYPE-B
Speed Combat Pants TYPE-C	速度戰鬥下裝 TYPE-C
Super Speed Combat Shoes TYPE-B	超速度戰鬥鞋 TYPE-B
Super Speed Combat Shoes TYPE-C	超速度戰鬥鞋 TYPE-C
Super Speed Combat Pants TYPE-B	超速度戰鬥下裝 TYPE-B
Super Speed Combat Pants TYPE-C	超速度戰鬥下裝 TYPE-C
Powerful Speed Combat Shoes TYPE-B	強力速度戰鬥鞋 TYPE-B
Powerful Speed Combat Shoes TYPE-C	強力速度戰鬥鞋 TYPE-C
Powerful Speed Combat Pants TYPE-B	強力速度戰鬥下裝 TYPE-B
Powerful Speed Combat Pants TYPE-C	強力速度戰鬥下裝 TYPE-C
Ultimate Speed Combat Shoes TYPE-B	究極速度戰鬥鞋 TYPE-B
Ultimate Speed Combat Shoes TYPE-C	究極速度戰鬥鞋 TYPE-C
Ultimate Speed Combat Pants TYPE-B	究極速度戰鬥下裝 TYPE-B
Ultimate Speed Combat Pants TYPE-C	究極速度戰鬥下裝 TYPE-C
Invincible Speed Combat Shoes TYPE-B	無敵速度戰鬥鞋 TYPE-B
Invincible Speed Combat Shoes TYPE-C	無敵速度戰鬥鞋 TYPE-C
Invincible Speed Combat Pants TYPE-B	無敵速度戰鬥下裝 TYPE-B
Invincible Speed Combat Pants TYPE-C	無敵速度戰鬥下裝 TYPE-C
No-Limit Speed Combat Shoes TYPE-B	無限速度戰鬥鞋 TYPE-B
No-Limit Speed Combat Shoes TYPE-C	無限速度戰鬥鞋 TYPE-C
No-Limit Speed Combat Pants TYPE-B	無限速度戰鬥下裝 TYPE-B
No-Limit Speed Combat Pants TYPE-C	無限速度戰鬥下裝 TYPE-C
Ultimate Speed Restrain	究極速度束縛
Ultimate Shoot Speed	究極射擊速度
Ultimate Attack Speed Shackle	究極攻擊速度枷鎖
Sweet Speeding Club	甜蜜疾馳俱樂部
Modified Speed Pepper Paste	改裝速度辣椒醬
Speed Kangaroo 1	速度袋鼠 1
Speed Kangaroo 2	速度袋鼠 2
Speed Kangaroo 3	速度袋鼠 3
Speed Kangaroo 4	速度袋鼠 4
Speed Cattle No1 [Permanent]	速度牛 1 號［永久］
Speed Cattle No2 [Permanent]	速度牛 2 號［永久］
Speed Cattle No3 [Permanent]	速度牛 3 號［永久］
Speed Cattle No4 [Permanent]	速度牛 4 號［永久］
