原文	填写中文
Super Powerful Z Spring Axe EX Recipe	超強力 Z 彈簧斧 EX 配方
Super Powerful Magic Ring TYPE-C Recipe	超強力魔法戒指 TYPE-C 配方
Super Powerful Magic Necklace TYPE-C Recipe	超強力魔法項鍊 TYPE-C 配方
Super Powerful Magic Gloves TYPE-C Recipe	超強力魔法手套 TYPE-C 配方
Super Powerful Magic Earring TYPE-C Recipe	超強力魔法耳環 TYPE-C 配方
Super Powerful Immortal Fan Recipe	超強力不朽扇配方
Super Powerful Huge Club Recipe	超強力巨棒配方
Super Powerful Gloves TYPE-C Recipe	超強力手套 TYPE-C 配方
Super Powerful Gloves TYPE-B Recipe	超強力手套 TYPE-B 配方
Super Powerful Ghost Staff TYPE-B Recipe	超強力幽靈杖 TYPE-B 配方
Super Powerful Ghost Ring TYPE-B Recipe	超強力幽靈戒指 TYPE-B 配方
Super Powerful Ghost Necklace TYPE-B Recipe	超強力幽靈項鍊 TYPE-B 配方
Super Powerful Ghost Earring TYPE-B Recipe	超強力幽靈耳環 TYPE-B 配方
Super Powerful Earring TYPE-C Recipe	超強力耳環 TYPE-C 配方
Super Powerful Earring TYPE-B Recipe	超強力耳環 TYPE-B 配方
Super Powerful Blood Combat Shoes TYPE-C Recipe	超強力血戰鞋 TYPE-C 配方
Super Powerful Blood Combat Shoes TYPE-B Recipe	超強力血戰鞋 TYPE-B 配方
Super Powerful Blood Combat Shoes TYPE-A Recipe	超強力血戰鞋 TYPE-A 配方
Super Powerful Blood Combat Pants TYPE-C Recipe	超強力血戰下裝 TYPE-C 配方
Super Powerful Blood Combat Pants TYPE-B Recipe	超強力血戰下裝 TYPE-B 配方
Super Powerful Blood Combat Pants TYPE-A Recipe	超強力血戰下裝 TYPE-A 配方
Super Delicious Expert Clothes	超美味專家服裝
Sukuna Outfit	宿儺服裝
Subaru Outfit from RE:ZERO	昴服裝（RE:ZERO）
Subaru Outfit	昴服裝
Strongest Warrior Clothes	最強戰士服裝
Strike Fighter Suit (Top) EX	打擊格鬥家套裝（上衣）EX
Strike Fighter Suit (Shoes) EX	打擊格鬥家套裝（鞋子）EX
Strike Fighter Suit (Pants) EX	打擊格鬥家套裝（下裝）EX
Stormbreaker Trumpet	風暴破小號
Storm Performing Clothes	風暴表演服裝
Stan Outfit	斯坦服裝
St. Vines Clothes	聖藤服裝
Spotted Bean Fly Saibaman	斑點豆舞空菜花人
Spooky Soul Title	陰森之魂稱號
Splash Leather Clothes	飛濺皮革服裝
Special Injected Pilot Clothes (Top) EX	特殊注入飛行員服裝（上衣）EX
Special Injected Pilot Clothes (Shoes) EX	特殊注入飛行員服裝（鞋子）EX
Special Injected Pilot Clothes (Pants) EX	特殊注入飛行員服裝（下裝）EX
Recipe for Staff of Blazing Wings (Dende)	熾焰翼杖配方（丹德）
Recipe for Gloves of Blazing Fire C (Grand Chief)	熾焰火手套 C 配方（大酋長）
Sukuna Outfit	宿儺服裝
One Piece Mihawk Outfit.	海賊王鷹眼服裝。
Mihawk's Outfit	鷹眼的服裝
Support-Type Pet Spawn Pack	支援型寵物生成包
Middle Rank Pet Feed	中級寵物飼料
High Rank Pet Feed	高級寵物飼料
High Rank Pet Feed [5x]	高級寵物飼料［5×］
High Rank Pet Feed [1x]	高級寵物飼料［1×］
High Rank Pet Feed [10x]	高級寵物飼料［10×］
Kuda's Pet	庫達的寵物
Kon Pet	康寵物
Kapanchi's Pet Wolf	卡潘奇的寵物狼
Kankan's Pet Dog	坎坎的寵物狗
Kamiiccolo Pet	神短笛寵物
Jewelry Recipe Chest [Lv46]	飾品配方箱［Lv46］
Jewelry Recipe Chest [Lv42]	飾品配方箱［Lv42］
Jewelry Recipe Chest [Lv38]	飾品配方箱［Lv38］
Jewelry Recipe Chest	飾品配方箱
Iron Knight Outfit	鐵騎士服裝
Inosuke Clothes	伊之助服裝
Injection Turbine Trumpet EX	注入渦輪小號 EX
Injection Turbine Trumpet	注入渦輪小號
Immortal Turtle Clothes (Top) EX	不朽龜服裝（上衣）EX
Immortal Turtle Clothes (Top)	不朽龜服裝（上衣）
Immortal Turtle Clothes (Shoes) EX	不朽龜服裝（鞋子）EX
Immortal Turtle Clothes (Shoes)	不朽龜服裝（鞋子）
Immortal Turtle Clothes (Pants) EX	不朽龜服裝（下裝）EX
Immortal Turtle Clothes (Pants)	不朽龜服裝（下裝）
Immortal Ultra Crane Suit Z (Top) EX	不朽超鶴套裝 Z（上衣）EX
Ichigo Damaged Clothes	一護受損服裝
I want Warrior clothes.	我要戰士服裝。
Howling Trumpet [Ultimate Majin]	嚎叫小號［究極魔人］
Howling Trumpet	嚎叫小號
Horse Rider Outfit	騎手服裝
Hopeful Soul Title	希望之魂稱號
Highway Construction Petition	公路建設請願
High Quality Budo Clothes (Pants) EX	高品質武道服裝（下裝）EX
Hero Outfit	英雄服裝
Harley Quinzel Outfit	哈莉·奎茵服裝
Happy Prominence Clothes	快樂日冕服裝
Gwen Outfit	格溫服裝
Gunslinger Clothes Z( Pants)	槍手服裝 Z（下裝）
Green Roots Clothes	綠根服裝
Great Saiyaman's Outfit	偉大賽亞人的服裝
Grat Saiyamn Outfit[no suit]	偉大賽亞人服裝［無套裝］
Grant Chief Lotus Magic Suit (Top) EX	大酋長蓮花魔法套裝（上衣）EX
Grant Chief Lotus Magic Suit (Shoes) EX	大酋長蓮花魔法套裝（鞋子）EX
Grant Chief Lotus Magic Suit (Pants) EX	大酋長蓮花魔法套裝（下裝）EX
Grant Chief Bliss Magic Suit (Top)	大酋長極樂魔法套裝（上衣）
Grant Chief Bliss Magic Suit (Shoes)	大酋長極樂魔法套裝（鞋子）
Grant Chief Bliss Magic Suit (Pants)	大酋長極樂魔法套裝（下裝）
Gothic Style Suit	哥德風格套裝
Gorgeous and Elegant Clothes	華麗優雅服裝
Good News Trumpet	好消息小號
God of Gamblers Title	賭神稱號
God Oracle Turtle Clothes (Top) EX	神諭龜服裝（上衣）EX
God Oracle Turtle Clothes (Shoes) EX	神諭龜服裝（鞋子）EX
God Oracle Turtle Clothes (Pants) EX	神諭龜服裝（下裝）EX
God Oracle Sin Crane Clothes (Top) EX	神諭罪鶴服裝（上衣）EX
God Oracle Sin Crane Clothes (Shoes) EX	神諭罪鶴服裝（鞋子）EX
God Oracle Sin Crane Clothes (Pants) EX	神諭罪鶴服裝（下裝）EX
God Magic Bucket Clothes (Shoes) EX	神魔法桶服裝（鞋子）EX
God Magic Bucket Clothes (Pants) EX	神魔法桶服裝（下裝）EX
God Combat Outfit [Awakening]	神戰鬥服裝［覺醒］
Galaxy Rangers Clothes	銀河遊俠服裝
Galaxy Lotus Magic Suit (Shoes) EX	銀河蓮花魔法套裝（鞋子）EX
Galaxy Lotus Magic Suit (Pants) EX	銀河蓮花魔法套裝（下裝）EX
