原文	填写中文
Life Conversion Chip 20	生命轉換晶片 20
Life Conversion Chip 25	生命轉換晶片 25
Life Conversion Chip 30	生命轉換晶片 30
Life Conversion Chip 35	生命轉換晶片 35
Life Conversion Chip 40	生命轉換晶片 40
Life Conversion Chip 45	生命轉換晶片 45
Life Conversion Chip 50	生命轉換晶片 50
Life Conversion Chip 55	生命轉換晶片 55
Life Conversion Chip 60	生命轉換晶片 60
Life Conversion Chip 65	生命轉換晶片 65
Life Conversion Chip 70	生命轉換晶片 70
Life Conversion Chip 75	生命轉換晶片 75
Life Conversion Chip 80	生命轉換晶片 80
Life Conversion Chip 85	生命轉換晶片 85
Life Conversion Chip 90	生命轉換晶片 90
Life Conversion Chip 95	生命轉換晶片 95
Life Conversion Chip 100	生命轉換晶片 100
Life Conversion Chip 110	生命轉換晶片 110
Matrix Endurance Chip 6	矩陣耐力晶片 6
Matrix Endurance Chip 8	矩陣耐力晶片 8
Matrix Endurance Chip 10	矩陣耐力晶片 10
Matrix Focus Chip 6	矩陣專注晶片 6
Matrix Focus Chip 8	矩陣專注晶片 8
Matrix Focus Chip 10	矩陣專注晶片 10
Balanced Chip 6	平衡晶片 6
Balanced Chip 8	平衡晶片 8
Balanced Chip 10	平衡晶片 10
Guts Screen Matrix 6	勇氣螢幕矩陣 6
Guts Screen Matrix 8	勇氣螢幕矩陣 8
Guts Screen Matrix 10	勇氣螢幕矩陣 10
Combat Reaction Chip 6	戰鬥反應晶片 6
Combat Reaction Chip 8	戰鬥反應晶片 8
Combat Reaction Chip 10	戰鬥反應晶片 10
Stable Combat Chip 6	穩定戰鬥晶片 6
Stable Combat Chip 8	穩定戰鬥晶片 8
Stable Combat Chip 10	穩定戰鬥晶片 10
E Limited Edition Alpha Gloves L	E 限定版 Alpha 手套 L
Classic Rubber Sugar (Top) L	經典橡膠糖（上）L
Classic Rubber Sugar (Pants) L	經典橡膠糖（下裝）L
Classic Rubber Sugar (Shoes) L	經典橡膠糖（鞋）L
