原文	填写中文
Everyone hitting this target, ranked by aggro.\nThe target attacks whoever sits on top.\n\n>> marks the player currently holding aggro.\n\nWide bar and percent: share of the target's total\naggro. Red at the top, cooling to grey as threat drops.\n\nThin bar underneath: damage dealt, measured\nagainst the biggest hitter in the list.\n\nOnly the 10 highest in aggro are listed.	所有攻擊此目標者依仇恨排序。\n目標會攻擊仇恨最高者。\n\n>> 表示目前持有仇恨的玩家。\n\n寬條與百分比：佔總仇恨的比例。\n頂部為紅，仇恨降低則轉灰。\n\n下方細條：造成傷害，相對列表最高輸出。\n\n僅列出仇恨最高的 10 名。
Armor Element:	防具屬性：
Weapon Element:	武器屬性：
Elements:	屬性：
 Elemental Attack: %.0f%%	屬性攻擊：%.0f%%
 Elemental Defense: %.0f%%	屬性防禦：%.0f%%
[align = "center"][font size = "12" color="f4d762"]Change Item Element[/font][br][br][font size = "10" color="ffffff"]Selected Element: %s[br]Price: %s Zeni[br]Success Rate: %d%%[br][br]On success, %s element is applied.[br]On failure, the element is cleared.[br]No sacrifice item is required.[/font]	[align = "center"][font size = "12" color="f4d762"]變更道具屬性[/font][br][br][font size = "10" color="ffffff"]已選屬性：%s[br]費用：%s 索尼[br]成功率：%d%%[br][br]成功時套用 %s 屬性。[br]失敗時屬性會被清除。[br]不需要祭品道具。[/font]
[align = "center"][font size = "12" color="f4d762"]Change Item Element[/font][br][br][font size = "10" color="ffffff"]Selected Element: %s[br]Price: %s Zeni[br]Success Rate: %d%%[br][br]On success, %s element is applied.[br]On failure, the element is cleared.[/font]	[align = "center"][font size = "12" color="f4d762"]變更道具屬性[/font][br][br][font size = "10" color="ffffff"]已選屬性：%s[br]費用：%s 索尼[br]成功率：%d%%[br][br]成功時套用 %s 屬性。[br]失敗時屬性會被清除。[/font]
If it fails, the item element is cleared.	失敗時，道具屬性會被清除。
[font size = "10" color = "ffffff"]Item ready.[br]Selected element: %s[br]Press Change Element to confirm.[/font]	[font size = "10" color = "ffffff"]道具就緒。[br]已選屬性：%s[br]請按「變更屬性」確認。[/font]
[font size = "10" color = "ffffff"]Item inserted.[br]Click an element slot to choose the element you want.[br]No sacrifice item required.[/font]	[font size = "10" color = "ffffff"]已放入道具。[br]點選屬性欄位選擇要的屬性。[br]不需要祭品道具。[/font]
VIP members can open Change Element remotely from the status bar.	VIP 可從狀態列遠端開啟變更屬性。
No element changed	屬性未變更
Element untouched	屬性未變動
Performance Mode: hides effects, other players, pets and mascots for maximum FPS.	效能模式：隱藏特效、其他玩家、寵物與吉祥物以提升 FPS。
Attributes\nLeft icon = weapon element (elemental ATK).\nRight icon = armor element (elemental DEF).\nAccessory elemental ATK (necklace/ring/earring) only shows here if it matches your weapon.\nAccessory elemental DEF only shows here if it matches your armor.	屬性\n左圖示＝武器屬性（屬性攻擊）。\n右圖示＝防具屬性（屬性防禦）。\n飾品屬性攻擊（項鍊／戒指／耳環）僅在與武器相同時顯示。\n飾品屬性防禦僅在與防具相同時顯示。
CLAIM PAGE	領取本頁
CLAIMING...	領取中...
WAIT %ds	等待 %d 秒
Claimed %d items from this page.	已從此頁領取 %d 個道具。
There is nothing to claim on this page.	此頁沒有可領取的內容。
Please wait a moment before claiming another page.	請稍候再領取下一頁。
Daily Sign-In	每日簽到
CLAIM	領取
Checked in: %u / %u days	已簽到：%u / %u 天
Season ends in %ud %uh	賽季剩餘 %ud %uh
No daily sign-in event is running right now.	目前沒有進行中的每日簽到活動。
Reward claimed. Come back tomorrow!	獎勵已領取。明天再來！
You already claimed today's reward.	今天的獎勵已領取過。
You completed this season's calendar.	本季簽到日曆已全部完成。
Your level is below the event requirement.	等級低於活動需求。
Free up bag space to receive the reward.	請清出背包空間以領取獎勵。
The reward could not be claimed.	無法領取獎勵。
Claim the highlighted day first.	請先領取反白的那一天。
COMPLETION PACK	完成禮包
For now, you can only have 25 Resets.	目前最多只能有 25 次重置。
