原文	填写中文
Rest Scroll Transmog (Dende)	休息卷軸幻化（丹德）
Represents a Dragon Ball Boots	龍珠象徵靴子
Repatriated Convenient Capsule	歸還便利膠囊
Renovated Gigantic Flame Dragon	整修巨焰之龍
Reinforcement Request	強化請求
Regression Wave Capsule	回歸波動膠囊
Reggae Costume Capsule	雷鬼造型膠囊
Red Heart Detoxification Capsule	紅心解毒膠囊
Red Boxing Raccoon	紅拳浣熊
Red Bean Pop [Namek]	紅豆汽水［那美克］
Recovery Potion Random Capsule	恢復藥水隨機膠囊
Recently-Summoned Devil Dragon	剛召喚的惡魔之龍
Rare Rhenium Stone	稀有錸石
Random Football Capsule	隨機足球膠囊
Rabbit Corps Uniform Capsule	兔軍團制服膠囊
Rabbit Corps Set Capsule	兔軍團套裝膠囊
RP Toolbox	RP 工具箱
Purification of the Dragon Crystal Shard	淨化龍水晶碎片
Pure Stone Capsule [5x]	純淨石膠囊［5×］
Pure Stone Capsule [1x]	純淨石膠囊［1×］
Proud Dragon	驕傲之龍
Prototype Saiyan Pod Design.	原型賽亞艙設計圖。
Prototype Saiyan Pod Design	原型賽亞艙設計圖
Protect Stone Capsule+ [5x]	保護石膠囊＋［5×］
Protect Stone Capsule+ [1x]	保護石膠囊＋［1×］
Protect Stone Capsule+ [10x]	保護石膠囊＋［10×］
Proof of Korin	花梨之證
Prisoner Set Capsule	囚犯套裝膠囊
Pre-Summoned Devil Dragon	預召喚惡魔之龍
Powerfull Super Saiyan	強力超級賽亞人
Police Set Capsule	警察套裝膠囊
Poko Land Dragon	波可陸之龍
Poko Child Dragon	波可幼龍
Platinum Chest Key	白金箱鑰匙
Platinum Box Key [10x]	白金箱鑰匙［10×］
Platinum Box Key	白金箱鑰匙
Platinium Chest Key [5x]	白金箱鑰匙［5×］
Platinium Chest Key [2x]	白金箱鑰匙［2×］
Pillar Village	柱村
Pillar Fishing Village	柱漁村
Pillar Coast House	柱海岸小屋
Pilaf Stone Statue	皮拉夫石像
Picollo, Gohan	短笛、悟飯
Piccolo's Disciple	短笛的弟子
Piccolo's Apprentice	短笛的徒弟
Piccolo Turban	短笛頭巾
Piccolo Run	短笛奔跑
Piccolo Red Star Turban	短笛紅星頭巾
Piccolo Plus	短笛 Plus
Piccolo Daimaoh	短笛大魔王
Piccolo Daimao	短笛大魔王
Perry Turkey	佩里火雞
Peach Juice [Namek]	桃汁［那美克］
Papaya Monkey	木瓜猴
Papa Dragon	爸爸之龍
Pandora's Capsule Lv35 (CC175 Reward)	潘朵拉膠囊 Lv35（CC175 獎勵）
Pandora's Capsule Lv34 (CC170 Reward)	潘朵拉膠囊 Lv34（CC170 獎勵）
Pandora's Capsule Lv33 (CC165 Reward)	潘朵拉膠囊 Lv33（CC165 獎勵）
Pandora's Capsule Lv32 (CC160 Reward)	潘朵拉膠囊 Lv32（CC160 獎勵）
Pandora's Capsule Lv31 (CC155 Reward)	潘朵拉膠囊 Lv31（CC155 獎勵）
Pandora's Capsule Lv30 (CC150 Reward)	潘朵拉膠囊 Lv30（CC150 獎勵）
Panda Captain Set Capsule	熊貓隊長套裝膠囊
Ox-King's Set Capsule	牛魔王套裝膠囊
Ox-King Set Capsule	牛魔王套裝膠囊
Osoro Flying Dinosaur	奧索羅舞空恐龍
Orange Star High School Uniform Capsule	橙星高中制服膠囊
Orange Muscle Namek	橘色肌肉那美克
Operation Keys	行動鑰匙
Oolong Set Capsule	烏龍套裝膠囊
Old Namekian Relics	古老那美克遺跡
Old Heritage of Namek	那美克古老遺產
Old Capsule Excavating Robot	舊膠囊挖掘機器人
OBT Comprehensive Capsule C	OBT 綜合膠囊 C
OBT Comprehensive Capsule B	OBT 綜合膠囊 B
OBT Comprehensive Capsule A	OBT 綜合膠囊 A
Nurse Set Capsule (White)	護士套裝膠囊（白）
Nurse Set Capsule (Pink)	護士套裝膠囊（粉）
Nurse Set Capsule (Blue)	護士套裝膠囊（藍）
New Growth Box Lv9	新成長禮包 Lv9
