原文	填写中文
Mischievous Ghost Gift Box LV 2	惡作劇幽靈禮物箱 LV 2
Mischievous Ghost Gift Box LV 18	惡作劇幽靈禮物箱 LV 18
Mischievous Ghost Gift Box LV 15	惡作劇幽靈禮物箱 LV 15
Mischievous Ghost Gift Box LV 12	惡作劇幽靈禮物箱 LV 12
Mira's Army Capsule House Area C	米拉軍膠囊屋 C 區
Mira's Army Capsule House Area B	米拉軍膠囊屋 B 區
Mira's Army Capsule House Area A	米拉軍膠囊屋 A 區
Mira Supply Control Key	米拉補給控制鑰匙
Minimum Dragon	迷你之龍
Mine Prison Key	礦山監獄鑰匙
Mighty Majin Skills Capsule	強力魔人技能膠囊
Menkey's Map	門基的地圖
Medium VP Recovery Box [5x]	中級 VP 恢復禮包［5×］
Medium VP Recovery Box [1x]	中級 VP 恢復禮包［1×］
Master Shen's Set Capsule	鶴仙人套裝膠囊
Martial Arts Skill Tutor Clothes (Top) EX	武道技能導師服裝（上衣）EX
Marble Exclusive Capsule Kit	大理石專屬膠囊套組
Mango Monkey	芒果猴
Manager's Compass	管理員羅盤
Mai Stone Statue	舞石像
Magical Flying Kick	魔法舞空踢
Magical Box's Curse	魔法箱的詛咒
Magical Box's Blessing	魔法箱的祝福
Magic Stone Ivory Equip	魔法石象牙裝備
Machine Repair Request	機器修理請求
Luxury Capsule Item	豪華膠囊道具
Lost Baby Dragon	迷路的幼龍
Lord Dragon	龍領主
Long Tongue Dragon Frog Meat	長舌龍蛙肉
Long Tongue Dragon Frog	長舌龍蛙
Loner Goku	孤獨悟空
Little Baylor Monkey	小貝勒猴
Lava Dragon	熔岩之龍
Last Phase of Reward Capsule	最後階段獎勵膠囊
Large Gemstone	大寶石
Korin's Veteran Message	花梨的老兵留言
Korin's Hallucination	花梨的幻覺
Korin Tribe's Spell	花梨族咒語
Korin Tribe	花梨族
Korin Tower Miniature	花梨塔模型
Korin Tower Exit	花梨塔出口
Korin Seetang	花梨海帶
Korin Kelp	花梨昆布
Korin Holy Land Area	花梨聖地區域
Korin Ghost Hunter Equip	花梨獵鬼裝備
Korin Forest Spy Robot Core	花梨森林間諜機器人核心
Korin Brave Medal	花梨勇者勳章
Korin Bellflower	花梨風鈴草
Kiri Supply Control Key	奇里補給控制鑰匙
Kingbune Turkey Meat	王骨火雞肉
Kingbune Turkey Feather	王骨火雞羽毛
Kingbune Turkey	王骨火雞
King Yemma Set Capsule	閻王套裝膠囊
King Monkey Set Capsule	猴王套裝膠囊
King Monkey Set 3 Capsule	猴王套裝 3 膠囊
King Monkey Set 2 Capsule	猴王套裝 2 膠囊
King Monkey Set 1 Capsule	猴王套裝 1 膠囊
King Monkey Outfit Type 3	猴王造型 Type 3
King Monkey Outfit Type 2	猴王造型 Type 2
King Monkey Outfit Type 1	猴王造型 Type 1
King Monkey Hat Type 3	猴王帽 Type 3
King Monkey Hat Type 2	猴王帽 Type 2
King Monkey Hat Type 1	猴王帽 Type 1
Killer Drunken Skill	致命醉拳技能
Kid Gohan LV1	小悟飯 LV1
Kaka's Magic Stone	卡卡的魔法石
Just-Summoned Devil Dragon	剛召喚的惡魔之龍
Iron-Horn Child Dragon	鐵角幼龍
Iron Prison Key	鐵監獄鑰匙
Injured Goku	受傷的悟空
Injured Dragon	受傷的龍
Injured Black Dragon	受傷的黑龍
Increased Storm Skill Range	風暴技能範圍提升
Increased Storm Skill Power	風暴技能威力提升
Imp Summon Scroll	小惡魔召喚卷軸
