原文	填写中文
3K CASH	3K點
E Reconstructed Alien Gloves	E 重組外星人手套
Leisure Gloves	休閒手套
E Protector Gloves EX	E 守護者手套 EX
E Gorgeous Snail Gloves EX	E 華麗蝸牛手套 EX
Cold Moon Gloves	冷月手套
Budokai Ritual Gloves	武道會儀式手套
Sharp Carbon Shell Gauntlets	銳利碳殼護手
Blood Gauntlets EX	血護手 EX
Concentrated Carbon Shell Gauntlets	濃縮碳殼護手
Brave Fighter Gloves	勇敢格鬥家手套
Elite Carbon Shell Gauntlets	菁英碳殼護手
E Short Mountaineering Gauntlets	E 短登山護手
E Metal Giro Gauntlets	E 金屬 Giro 護手
E Martial Monk Gloves	E 武道僧手套
Fanaticism Gloves	狂熱手套
God Speed Carbon Shell Gauntlets	神速碳殼護手
E Metal Giro Gauntlets EX	E 金屬 Giro 護手 EX
Hymn of Victory Gloves	勝利讚歌手套
Focus Carbon Shell Gauntlets	專注碳殼護手
Mighty Staff	強力杖
CC Sage Staff	CC 賢者杖
Intermediate Staff	中級杖
Highland Magic Staff	高地魔法杖
Mighty Staff EX	強力杖 EX
CC Sage Staff EX	CC 賢者杖 EX
Intermediate Staff EX	中級杖 EX
Round Monster	圓形怪物
Round Monster EX	圓形怪物 EX
Absolut Shadow	絕對暗影
Soul Aaddicted Claws	靈魂成癮爪
Soul Shatterer	靈魂粉碎者
Soul Destroyer Axe	靈魂毀滅斧
Color Gem	色彩寶石
God Gem	神之寶石
Magic God Stick	魔法神棍
Song of Blade	刀之歌
Blade Dance	刀舞
Skyshatter Wand	碎空魔杖
Chicken Skewers	雞肉串
Pheasant Skewers	野雞串
Adept Drum	熟練鼓
Retro Mask	復古面具
Confusion Mask	混亂面具
Combat Intructor Gear (Pants) EX	戰鬥指導員裝備（下裝）EX
Combat Intructor Gear (Shoes) EX	戰鬥指導員裝備（鞋）EX
Rare Scouter R	稀有偵察器 R
Rare Scouter	稀有偵察器
Excellent Scouter L	優秀偵察器 L
Excellent Scouter	優秀偵察器
Rare Scouter Chip R	稀有偵察器晶片 R
Rare Scouter Chip	稀有偵察器晶片
Mini Legend Scouter Chip L	迷你傳說偵察器晶片 L
Mini Legend Scouter Chip	迷你傳說偵察器晶片
P Damn Gloves R	P 該死手套 R
P Beep Wave Gloves	P 嗶波手套
Invincible Spike Gloves	無敵尖刺手套
Holiness Gloves	聖潔手套
Mumbled Gauntlets R	含糊護手 R
Beep Wave Gloves	嗶波手套
E Damn Gloves R	E 該死手套 R
E Beep Wave Gloves	E 嗶波手套
Heavyweight Gloves	重量級手套
Holiness Gauntlets	聖潔護手
Hand Gloves	手部手套
