原文	填写中文
Angel Wings Type B	天使翼 Type-B
Angel Wings Type C	天使翼 Type-C
Angel Halo Type A	天使光環 Type-A
Angel Halo Type B	天使光環 Type-B
Angel Halo Type C	天使光環 Type-C
Bunny Commander Sunglasses	兔指揮官墨鏡
Pumpkin Mask Type A	南瓜面具 Type-A
Pumpkin Mask Type B	南瓜面具 Type-B
Pumpkin Mask Type C	南瓜面具 Type-C
Mummy Hat	木乃伊帽
Arrogant Rabbit Boss Type A	傲慢兔老大 Type-A
Arrogant Rabbit Boss Type B	傲慢兔老大 Type-B
Arrogant Rabbit Boss Type C	傲慢兔老大 Type-C
Arrogant Rabbit Boss Mask	傲慢兔老大腦具
Orange Star High School Uniform	橙星高中制服
Christmas Dogi	聖誕道服
Christmas Hat	聖誕帽
Sunglasses B	墨鏡 B
Bunny Hair Band	兔髮箍
Bunny Helmet	兔頭盔
Chichi's Helmet (Female)	琪琪的頭盔（女）
Crane Hermit Travel Top	鶴仙人旅行上裝
Crane Hairstyles	鶴髮型
Supreme Kai Wing Type A	界王神翼 Type-A
Supreme Kai Wing Type B	界王神翼 Type-B
Supreme Kai Wing Type C	界王神翼 Type-C
Googles	護目鏡
Goggles Description	護目鏡說明
Great Saiyaman's Helmet	偉大賽亞人頭盔
Commander Red's Eyepatch	紅色總帥眼罩
Devil Horns	惡魔角
Love Balloon 1	愛心氣球 1
Love Balloon 1 Description	愛心氣球 1 說明
Love Balloon 2	愛心氣球 2
Love Balloon 2 Description	愛心氣球 2 說明
Love Balloon 3	愛心氣球 3
Love Balloon 3 Description	愛心氣球 3 說明
King Yamma's Helmet	閻王頭盔
King Yamma's Helmet Instructions	閻王頭盔說明
Android 19 Hat Instructions	人造人 19 號帽說明
Pirate Captain Hat 1 Instructions	海盜船長帽 1 說明
Pirate Captain Hat 2 Instructions	海盜船長帽 2 說明
Pirate Captain Hat 3 Instructions	海盜船長帽 3 說明
Hail Cap	冰雹帽
Hail Cap Instructions	冰雹帽說明
Popo's Turban 1	波波頭巾 1
Popo's Turban 1 Instructions	波波頭巾 1 說明
Popo's Turban 2	波波頭巾 2
Popo's Turban 2 Instructions	波波頭巾 2 說明
Popo's Turban 3	波波頭巾 3
Popo's Turban 3 Instructions	波波頭巾 3 說明
Bacterial Crown	細菌王冠
Turtle Shell	龜殼
Liquid Fuel Collector	液體燃料收集器
Liquid Fuel Collector 2	液體燃料收集器 2
Liquid Fuel Collector 3	液體燃料收集器 3
Liquid Fuel Collector 4	液體燃料收集器 4
Liquid Fuel Collector 5	液體燃料收集器 5
Liquid Fuel Collector 6	液體燃料收集器 6
Liquid Fuel Collector 7	液體燃料收集器 7
Huge Egg	巨大蛋
Ghost Doll	幽靈娃娃
Clean Air	潔淨空氣
Fridge	冰箱
Cactus Pickles Pot	仙人掌泡菜罐
Clean Air Purifiers	潔淨空氣清淨機
Transmitter	發射機
Oil Heater	燃油暖爐
Fourth Turtle Brother	烏龜四弟
Camouflaged Supplies	偽裝補給品
Mushroom Back	蘑菇背包
B.B.Q Grill	烤肉架
Collecting Oil Machine	集油機
Flame Launcher	火焰發射器
Purple Seed Collector	紫色種子收集器
Intrepid Treasure Chest A	無畏寶箱 A
Intrepid Treasure Chest B	無畏寶箱 B
Intrepid Treasure Chest C	無畏寶箱 C
Intrepid Treasure Chest D	無畏寶箱 D
Fur Spell	毛皮咒語
Dr. Smell's Perfume	嗅覺博士香水
Thick Whip	粗鞭
Pine Wool Gloves	松毛手套
Signal Flare	信號彈
Super Divine Water	超神水
Soul Return Paper	還魂紙
Latest CC Bug	最新 CC 蟲
Machine Scanning Device	機器掃描裝置
Spy Robot Repair Kit	間諜機器人維修組
CC Treatment Agent	CC 治療劑
Shackles Controller	鐐銬控制器
Bug Net	捕蟲網
RP Flares	RP 照明彈
Alien Brain Wave Machine	外星腦波機
CC Stealth Device	CC 隱身裝置
CC Strategy Beast Folder	CC 戰略獸資料夾
Hentai Magazine	色情雜誌
Rice Cooker	電鍋
Dog Flute of Mero	梅羅的狗笛
System Administrator Nightmare	系統管理員惡夢
Orange Crystal Ball	橙色水晶球
Mermaid Hall Camera	人魚廳攝影機
Murasaki's Special Explosives	紫的特殊炸藥
Slippery Oil	潤滑油
Mysterious Debris	神秘殘骸
Oil & Gas Bomb	油氣炸彈
Mysterious Bouquet	神秘花束
Mushroom Manure	蘑菇肥料
Crac Fodder	克拉克飼料
Pamphlet	宣傳冊
Harvest Team Book	收穫隊手冊
Giant Order	巨人命令
Sticky Clay	黏土
Great Witch Spell	大女巫咒語
Distance Remote Control	遠距遙控器
Kangaroo Hunter's Teeth	袋鼠獵人的牙齒
Modified RP Bomb	改裝 RP 炸彈
Shovel	鏟子
Gapuri's Treasure	加普里的寶藏
Communication Jammer	通訊干擾器
Radar Jammer	雷達干擾器
Super Glue	強力膠
Space Machine Equipment	太空機器設備
Gapuri's Treasure Map	加普里的藏寶圖
Ancient Monument	古代紀念碑
Black Hole Energy Detector	黑洞能量探測器
Dirty Pad	骯髒墊
Small Bomb	小型炸彈
High Performance Destruction Bomb	高性能破壞炸彈
Electric Wave Antenna	電波天線
