原文	填写中文
Immortal Monkey King Capsule	不朽美猴王膠囊
Imitation of Mecha Frieza	機械弗利薩仿製品
Imitation of Frieza	弗利薩仿製品
Ice Turquoise Dragon Soul	冰綠松石龍魂
I'm a Namekian	我是那美克人
Hungry Monkey	飢餓的猴子
Hungry Giran Dragon	飢餓的基然之龍
Howling Scroll [Dende Priest]	嚎叫卷軸［丹德祭司］
Honorary Warrior Claws	榮譽戰士之爪
Hockey Mask	曲棍球面具
Historic Pillar	歷史之柱
Hi! I'm Goku!	嗨！我是悟空！
HL Pain Treatment Pill [x20]	HL 止痛藥丸［×20］
HL Pain Treatment Pill S [x30]	HL 止痛藥丸 S［×30］
HL Pain Treatment Pill S [30x]	HL 止痛藥丸 S［30×］
HL Magic Pill Z [5x]	HL 魔力藥丸 Z［5×］
HL Magic Pill Y-S [x30]	HL 魔力藥丸 Y-S［×30］
HL Magic Pill Y-S [30x]	HL 魔力藥丸 Y-S［30×］
HL Magic Pill Y [x20]	HL 魔力藥丸 Y［×20］
HL Magic Pill X-S [x30]	HL 魔力藥丸 X-S［×30］
HL Magic Pill X-S [30x]	HL 魔力藥丸 X-S［30×］
HL Magic Pill X [x20]	HL 魔力藥丸 X［×20］
HL Life Pill Z [5x]	HL 生命藥丸 Z［5×］
HL Life Pill Y-S [x30]	HL 生命藥丸 Y-S［×30］
HL Life Pill Y-S [30x]	HL 生命藥丸 Y-S［30×］
HL Life Pill Y [x20]	HL 生命藥丸 Y［×20］
HL Life Pill X-S [x30]	HL 生命藥丸 X-S［×30］
HL Life Pill X-S [30x]	HL 生命藥丸 X-S［30×］
HL Life Pill X [x20]	HL 生命藥丸 X［×20］
HL Detoxification Pill [x20]	HL 解毒藥丸［×20］
HL Detoxification Pill S [x30]	HL 解毒藥丸 S［×30］
HL Detoxification Pill S [30x]	HL 解毒藥丸 S［30×］
HL Capsule Kit Z32 Pack	HL 膠囊套組 Z32 包
HL Capsule Kit Z28 Pack	HL 膠囊套組 Z28 包
HL Capsule Kit Z24 Pack	HL 膠囊套組 Z24 包
HL Capsule Kit Z20 Pack	HL 膠囊套組 Z20 包
HL Capsule Box Z32 [Permanent]	HL 膠囊禮包 Z32［永久］
HL Capsule Box Z28 [Permanent]	HL 膠囊禮包 Z28［永久］
HL Capsule Box Z24 [Permanent]	HL 膠囊禮包 Z24［永久］
HL Capsule Box Z20 [Permanent]	HL 膠囊禮包 Z20［永久］
Guild Physical Critical Rate	公會物理暴擊率
Guild Notification Writing Button	公會公告撰寫按鈕
Guild Notification	公會公告
Guild Name Change Book	公會改名書
Guild Movement Speed	公會移動速度
Guild Members Online	公會線上成員
Guild Leave Button	離開公會按鈕
Guild Energy Critical Rate	公會能量暴擊率
Guild EXP Bonus	公會經驗加成
Guild Cooldown Reduction	公會冷卻縮減
Guardian Dragon Hatchling	守護龍幼體
Guard Stone Base	守護石底座
Grilled Mole Cricket [Namek]	烤螻蛄［那美克］
Grilled Grind Kaboong [Namek]	烤研磨卡邦［那美克］
Great Saiyanman	偉大賽亞人
Great Saiyaman's Set Capsule	偉大賽亞人套裝膠囊
Great Namek Duration Rise	巨大那美克持續時間提升
Great Ape Costume Capsule	大猿造型膠囊
Grants %d Wagu Coins	獲得 %d 瓦古幣
Grandpa Gohan's Set Capsule	爺爺悟飯套裝膠囊
Grandpa Gohan's Outfit	爺爺悟飯服裝
Grandpa Gohan's Mask Type B	爺爺悟飯面具 Type B
Grandpa Gohan's Mask C	爺爺悟飯面具 C
Grandpa Gohan's Mask B	爺爺悟飯面具 B
Grandpa Gohan's Mask A	爺爺悟飯面具 A
Grandpa Gohan Mask A	爺爺悟飯面具 A
Grandpa Gohan	爺爺悟飯
Grand Skill Master	大技能大師
Grampa Gohan's Outfit	爺爺悟飯服裝
Gold Coin Ex.	金幣 Ex.
Gold Chest Key [5x]	金箱鑰匙［5×］
