原文	填写中文
Vending Machine C	販賣機 C
Vending Machine B	販賣機 B
Vending Machine A	販賣機 A
Vending Machine	販賣機
Venarian	維納里安
Vehicle Equipment Robot	載具裝備機器人
Vassal of Shenmaong	神馬翁的家臣
Varda Commander	瓦爾達指揮官
Vanquishing Strike	殲滅打擊
Vanishing Ball Range Increase	消失球射程提升
Vanishing Ball	消失球
Vanilla Sky	香草天空
Vane Bulma	風向布瑪
Vampire Mask R	吸血鬼面具 R
Vampire Mask L	吸血鬼面具 L
Vampire Mask EX	吸血鬼面具 EX
Vampire Mask	吸血鬼面具
Vampa World	凡帕世界
Vampa Wand	凡帕魔杖
Vampa Stick	凡帕棍
Vampa Mask	凡帕面具
Vampa Gem	凡帕寶石
Vampa Fan	凡帕扇
Vampa Entrance Machine	凡帕入口機
Vampa Drum	凡帕鼓
Vampa Club	凡帕棒
Vampa Claws	凡帕爪
Vally Rock Saibaman Body	谷岩菜花人身體
Vally Rock Saibaman	谷岩菜花人
Valiant Treasure Chest D	英勇寶箱 D
Valiant Treasure Chest C	英勇寶箱 C
Valiant Treasure Chest B	英勇寶箱 B
Vale's Fur	維爾的毛皮
Vaillant Wand	英勇魔杖
Vaillant Top	英勇上衣
Vaillant Sword	英勇劍
Vaillant Stick	英勇棍
Vaillant Shoes	英勇鞋
Vaillant Pants	英勇下裝
Vaillant Mask	英勇面具
Vaillant Invincible Wand	英勇無敵魔杖
Vaillant Invincible Sword	英勇無敵劍
Vaillant Invincible Stick	英勇無敵棍
Vaillant Invincible Mask	英勇無敵面具
Vaillant Invincible Gem	英勇無敵寶石
Vaillant Invincible Fan	英勇無敵扇
Vaillant Invincible Drum	英勇無敵鼓
Vaillant Invincible Club	英勇無敵棒
Vaillant Invincible Claws	英勇無敵爪
Vaillant Invincible Axe	英勇無敵斧
Vaillant Gem	英勇寶石
Vaillant Fan	英勇扇
Vaillant Drum	英勇鼓
Vaillant Club	英勇棒
Vaillant Claws	英勇爪
Vaillant Axe	英勇斧
VP Platform	VP 平台
VL UP 85!	VL 提升 85！
VL 85 White Upgrade.	VL 85 白石強化。
VIP Access 30Days	VIP 通行 30 天
VIP Access	VIP 通行
Usually Popo's Piggy Bank	平常波波的存錢筒
Using the Scouter	使用偵察器
Used to Get Others Transformations.	用於取得其他變身。
Used by the Yonkou Luffy.	海賊王魯夫使用。
Used by Trunks Sister, Bra.	特南克斯妹妹布拉使用。
Used by The Hero of Time.	時間英雄使用。
