原文	填写中文
Super Sacred Staff L	超神聖杖 L
Burst Magic Staff	爆發魔法杖
Earth Defender Staff	大地防衛者杖
Science Staff Type B	科學杖 Type B
Invincible Vaillant Staff	無敵英勇杖
Science Staff Type P	科學杖 Type P
Science Staff Type A	科學杖 Type A
Clever Purification Staff	聰慧淨化杖
Sixth Sense Claws	第六感爪
Red Lion Claws	紅獅爪
Silver Iron Fist Stick	銀鐵拳棍
Miracle Wand	奇蹟魔杖
Kakaousi Fan	卡考西扇
Spray Guns EX	噴霧槍 EX
Steel Knight	鋼騎士
Tai Chi Drum	太極鼓
God Odd Ton Drum	神奇噸鼓
Challenger Burst Top	挑戰者爆發上裝
Challenger Burst Pants	挑戰者爆發下裝
Challenger Burst Shoes	挑戰者爆發鞋
Great Assault Combat Top	大突擊戰鬥上裝
Great Assault Combat Pants	大突擊戰鬥下裝
Great Assault Combat Shoes	大突擊戰鬥鞋
Invincible Science 1 Top	無敵科學 1 上裝
Invincible Science 1 Pants	無敵科學 1 下裝
High-Density Pants	高密度下裝
Mech Endurance Shoes	機甲耐力鞋
Dark Waves Top	暗潮上裝
Dark Waves Pants	暗潮下裝
Dark Waves Shoes	暗潮鞋
Invincible World Vaillant Top	無敵世界英勇上裝
Invincible World Vaillant Pants	無敵世界英勇下裝
Invincible World Vaillant Shoes	無敵世界英勇鞋
Narak High Density Pants	納拉克高密度下裝
P Mr. Satan Gauntlets R	P 撒旦先生護手 R
Brave Steel Gloves	勇敢鋼鐵手套
Mountain Gloves	山岳手套
E Mr. Satan Gauntlets R	E 撒旦先生護手 R
E Satan Gloves MK2	E 撒旦手套 MK2
Phantom Budokai Gloves	幻影武道會手套
Karinga Warrior Gauntlets EX	卡林加戰士護手 EX
Mixed Core Gauntlets	混合核心護手
Budokai Temple Staff	武道會神殿杖
Limited ETA Staff EX	限定 ETA 杖 EX
Steel Angle Claws R	鋼角爪 R
Nail's Sharp Claws	納爾銳爪
First Quarter Blade Claws	上弦刃爪
Absolut Shadow EX	絕對暗影 EX
Roaring Axe R	咆哮斧 R
Sin Axe	罪惡斧
Boulder Axe	巨石斧
Crystal Hacked Bone Gem	水晶駭骨寶石
Twist Drill Stick	螺旋鑽棍
Actinic Fan	光化扇
Moon Spoilers EX	月擾流板 EX
Purple Nebula EX	紫色星雲 EX
Roasted Spareribs R	烤排骨 R
Super Octopus Dumplings	超章魚餃
Lion Drum	獅鼓
Mini Budokai Scouter	迷你武道會偵察器
Mini Budokai Winner Scouter	迷你武道會優勝偵察器
Extreme Budokai Winner Scouter	極限武道會優勝偵察器
P Protector Gloves	P 守護者手套
P Gorgeous Snail Gloves	P 華麗蝸牛手套
P Reconstructed Alien Gloves	P 重組外星人手套
Blow Through Gloves	貫穿手套
Protector Gloves	守護者手套
Gorgeous Snail Gloves	華麗蝸牛手套
Improved Alien Gloves	改良外星人手套
Gorgeous Snail Gloves EX	華麗蝸牛手套 EX
E Protector Gloves	E 守護者手套
E Gorgeous Snail Gloves	E 華麗蝸牛手套
