原文	填写中文
Nami Knit-Cap	娜美針織帽
Karinga Tribe Hat	卡林加部落帽
EV Popo Candy	活動波波糖
Lucky Bag (Small)	幸運袋（小）
Lucky Bag (Medium)	幸運袋（中）
Lucky Bag (Large)	幸運袋（大）
Squirrel Hat	松鼠帽
Krillin's Cap	克林帽
Rare Scouter Coupon	稀有偵察器券
Reggae Dogi	雷鬼道服
CM Knight Dogi	CM 騎士道服
Reggae Hat	雷鬼帽
CM Knight Hat	CM 騎士帽
Iron Fake Knight	鐵假騎士
Iron Fake Knight Helm	鐵假騎士盔
Sprout Plant Cap	芽苗植物帽
Iron Knight Set	鐵騎士套裝
200% EXP Boost (LV 1-30) [1 Hour]	200% 經驗加成（LV1-30）［1 小時］
200% EXP Boost (LV 1-59) [1 Hour]	200% 經驗加成（LV1-59）［1 小時］
200% EXP Boost (LV 1-69) [1 Hour]	200% 經驗加成（LV1-69）［1 小時］
Rare Dogi Property Ball	稀有道服屬性球
Rare Dogi Property Ball[5x]	稀有道服屬性球［5 倍］
Cowboy Dogi	牛仔道服
FN Turtle Shell	FN 龜殼
Deep Fry Pan	深煎鍋
Senzu Pot	仙豆鍋
CC Jet Pack Type A	CC 噴射背包 Type A
Goods Backpack	貨物背包
CC Jet Pack Type B	CC 噴射背包 Type B
CC Jet Pack Type C	CC 噴射背包 Type C
CC Jet Pack Type D	CC 噴射背包 Type D
Army Cap	軍帽
Henchmen Helmet	手下頭盔
Mammoth	猛獁
Horn Cap	角帽
Horse Rider Cap	騎手帽
Saibamen Head	栽培人頭
Hypnotic Turban	催眠頭巾
Turban	頭巾
CC Jet Helmet	CC 噴射頭盔
Master Roshi's Glasses (Original)	龜仙人眼鏡（原版）
FN Training Dogi	FN 訓練道服
Super Colosseum Dogi	超競技場道服
Gender Changer	性別轉換器
Takarazuka Unit	達卡拉部多部隊
Carbon Coal	碳煤
Bamboo	竹
Coconut	椰子
Cactus	仙人掌
Cyan Tree	青綠樹
Lively Tree	活力樹
Cong Spine	叢棘
Cotton	棉花
100% Cotton	100% 棉
Enamel	琺瑯
Leo Skin	獅皮
Kowanga Skin	科旺加皮
Hippopotamus Skin	河馬皮
Copper	銅
Chrome	鉻
Stainless Steel	不鏽鋼
Carrot	胡蘿蔔
Orange	橙
Cabbage	高麗菜
Potato	馬鈴薯
Cooked Lizard Meat.	熟蜥蜴肉。
Sausage	香腸
Cutlet	炸肉排
Hippo Meat	河馬肉
Dew Essence	露水精華
Sulfur Concentrate	硫磺濃縮
Essential Oils	精油
Refreshments	茶點
Coffee Concentrate	咖啡濃縮
Cactus Essence	仙人掌精華
Crude Oil	原油
Garlic	大蒜
Mustard	芥末
Rose Mary	迷迭香
Paprika	紅椒粉
Jadeite	硬玉
Aoduopazi	奧多帕齊
Emerald	翡翠
Large Crystal	大水晶
