原文	填写中文
New Growth Box Lv40	新成長禮包 Lv40
New Growth Box Lv39	新成長禮包 Lv39
New Growth Box Lv38	新成長禮包 Lv38
New Growth Box Lv37	新成長禮包 Lv37
New Growth Box Lv36	新成長禮包 Lv36
New Growth Box Lv35	新成長禮包 Lv35
New Growth Box Lv34	新成長禮包 Lv34
New Growth Box Lv33	新成長禮包 Lv33
New Growth Box Lv32	新成長禮包 Lv32
New Growth Box Lv31	新成長禮包 Lv31
New Growth Box Lv30	新成長禮包 Lv30
New Growth Box Lv29	新成長禮包 Lv29
New Growth Box Lv28	新成長禮包 Lv28
New Growth Box Lv27	新成長禮包 Lv27
New Growth Box Lv26	新成長禮包 Lv26
New Growth Box Lv25	新成長禮包 Lv25
New Growth Box Lv24	新成長禮包 Lv24
New Growth Box Lv23	新成長禮包 Lv23
New Growth Box Lv22	新成長禮包 Lv22
New Growth Box Lv21	新成長禮包 Lv21
New Growth Box Lv20	新成長禮包 Lv20
New Growth Box Lv19	新成長禮包 Lv19
New Growth Box Lv18	新成長禮包 Lv18
New Growth Box Lv17	新成長禮包 Lv17
New Growth Box Lv16	新成長禮包 Lv16
New Growth Box Lv15	新成長禮包 Lv15
New Growth Box Lv14	新成長禮包 Lv14
New Growth Box Lv13	新成長禮包 Lv13
New Growth Box Lv12	新成長禮包 Lv12
New Growth Box Lv11	新成長禮包 Lv11
New Growth Box Lv10	新成長禮包 Lv10
New Growth Box Lv8	新成長禮包 Lv8
New Growth Box Lv7	新成長禮包 Lv7
New Growth Box Lv6	新成長禮包 Lv6
Neko Majin Goku Outfit	貓魔人悟空套裝
Naruto Sennin Scroll	鳴人仙人卷軸
Narak Assassin Guild	納拉克刺客公會
Namekian Traitor	那美克叛徒
Namekian Slave	那美克奴隸
Namekian Scout	那美克偵察兵
Namekian Fighter Slave	那美克戰士奴隸
Namekian Crystal Samples	那美克水晶樣本
Namek Sodium Gem	那美克鈉寶石
Namek Sage Equip	那美克賢者裝備
Namek Priest Equip	那美克祭司裝備
Namek Plaza	那美克廣場
Namek Newbie CC Jacket	那美克新手 CC 外套
Namek Language	那美克語
Namek Fountain Bus	那美克噴泉巴士
Namek Fish Mitts	那美克魚手套
Namek Cotton Seedling	那美克棉苗
Namek Cotton Seed	那美克棉籽
Namek Cotton Caravan	那美克棉花商隊
Namek Cotton	那美克棉
Namek Castle Cave	那美克城堡洞窟
Namek Castle	那美克城堡
Namek Brand Name	那美克品牌名
Namek Art	那美克藝術
My Passion	我的熱情
Mushroom Processing Plant Keys	蘑菇加工廠鑰匙
Mummy Set Capsule	木乃伊套裝膠囊
Moori's Stone	莫利之石
Moon Stone EX	月亮石 EX
Monster Carrot's Set Type C Capsule	怪物胡蘿蔔套裝 Type C 膠囊
Monster Carrot's Set Type B Capsule	怪物胡蘿蔔套裝 Type B 膠囊
Monster Carrot's Set Type A Capsule	怪物胡蘿蔔套裝 Type A 膠囊
Monkey Tricks	猴子戲法
Monkey Rock Throw	猴子投石
Monkey Robot	猴子機器人
Monkey Rest	猴子休息
Monkey Heaven Set Capsule	猴子天堂套裝膠囊
Mixed Capsules	混合膠囊
Mischievous Ghost Gift Box LV 7	惡作劇幽靈禮物箱 LV 7
Mischievous Ghost Gift Box LV 30	惡作劇幽靈禮物箱 LV 30
Mischievous Ghost Gift Box LV 27	惡作劇幽靈禮物箱 LV 27
Mischievous Ghost Gift Box LV 25	惡作劇幽靈禮物箱 LV 25
Mischievous Ghost Gift Box LV 23	惡作劇幽靈禮物箱 LV 23
Mischievous Ghost Gift Box LV 21	惡作劇幽靈禮物箱 LV 21
