原文	填写中文
Magic Family Practice Pants	魔法家族修行下裝
Magic Protector Pants	魔法守護者下裝
Baggy Pants	寬鬆下裝
Invincible Vitality Pants	無敵活力下裝
Invincible Untrammeled Pants	無敵逍遙下裝
Magic Family Practice Shoes	魔法家族修行鞋
Magic Protector Shoes	魔法守護者鞋
Baggy Shoes	寬鬆鞋
Invincible Vitality Shoes	無敵活力鞋
Invincible Untrammeled Shoes	無敵逍遙鞋
Fritter Magic Pants	油炸魔法下裝
Quartz Pattern Pants	石英圖案下裝
Brilliant Green Majin Pants	燦爛綠魔人下裝
Green - Orange Magic Pants	綠橙魔法下裝
Potential Magic Pants	潛能魔法下裝
Autumn Wonder Majin Pants	秋日意魔人下裝
Dance Club Majin Pants	舞廳魔人下裝
Madness Magic Pants	瘋狂魔法下裝
Cheerful Magic Pants	歡快魔法下裝
Asura Magic Pants	修羅魔法下裝
Smiling Majin Pants	微笑魔人下裝
Temptation Charm Shoes	誘惑魅力鞋
Dark Purple Trance Shoes	深紫恍惚鞋
Sour Orange Shoes	酸橙鞋
Lulu Lala Shoes	露露拉拉鞋
Smiling Majin Shoes	微笑魔人鞋
Autumn Wonder Majin Shoes	秋日意魔人鞋
Dance Club Majin Shoes	舞廳魔人鞋
Sour Orange Magic Shoes	酸橙魔法鞋
Shiny Dazzling Shoes	閃耀炫目鞋
Minor Trot Shoes	小跑鞋
Minor Slow Shoes	小慢鞋
Cushion Magic Shoes	緩衝魔法鞋
Fresh New Vibrant Top	全新活力上裝
Fresh New Vibrant Pants	全新活力下裝
Fresh New Vibrant Shoes	全新活力鞋
Fox Rush Shoes	狐狸衝刺鞋
Fox Rush Top	狐狸衝刺上裝
Fox Rush Pants	狐狸衝刺下裝
Full Pleasure Pants	滿樂下裝
Full Pleasure Shoes	滿樂鞋
Full Pleasure Top	滿樂上裝
Blue Heart Top	藍心上裝
Blue Heart Pants	藍心下裝
Blue Heart Shoes	藍心鞋
Excited Top	興奮上裝
Invincible Brilliant Top	無敵燦爛上裝
Invincible Brisk Top	無敵輕快上裝
Excited Pants	興奮下裝
Invincible Brilliant Pants	無敵燦爛下裝
Invincible Brisk Pants	無敵輕快下裝
Excited Shoes	興奮鞋
Invincible Brilliant Shoes	無敵燦爛鞋
Invincible Brisk Shoes	無敵輕快鞋
Flashing Necklace	閃光項鍊
Shiny Necklace	閃亮項鍊
Jingle Necklace	叮噹項鍊
Aurora Halskette	極光項鍊
Sweetheart Necklace	甜心項鍊
Crystallize Necklace	結晶項鍊
Emerald Necklace	翡翠項鍊
Medusa Necklace	梅杜莎項鍊
Horror Necklace	恐怖項鍊
Body / Mind Necklace	身／心項鍊
Crimson Gladiator Necklace	深紅角鬥士項鍊
Mixed Gold Necklace	混金項鍊
Mixed Wood Necklace	混木項鍊
Flashing Ring	閃光戒指
Jingle Ring	叮噹戒指
Aurora Ring	極光戒指
Crystallize Ring	結晶戒指
Reunion Ring	重逢戒指
Birth Ring	誕生戒指
Four Kings Ring	四王戒指
Innovator Ring	革新者戒指
Dual Green Ring	雙綠戒指
North East Ring	東北戒指
