原文	填写中文
The acquisition of skills!\nPower UP (Wonder Majin)	習得技能！\n強化（意魔人）
The acquisition of skills!\nPower UP (Spiritualist)	習得技能！\n強化（精神師）
The acquisition of skills!\nPower UP (Dragon Clan)	習得技能！\n強化（龍族）
The acquisition of skills!\nGuard (Wonder Majin)	習得技能！\n防禦（意魔人）
The acquisition of skills!\nGuard (Spiritualist)	習得技能！\n防禦（精神師）
The acquisition of skills!\nCounter Attack (Wonder Majin)	習得技能！\n反擊（意魔人）
The acquisition of skills!\nCounter Attack (Warrior)	習得技能！\n反擊（戰士）
The acquisition of skills!\nCounter Attack (Dragon Clan)	習得技能！\n反擊（龍族）
Zangetsu	斬月
Yajirobe	雅吉羅貝
Whirlwind	旋風
Waterfall Cave Scouter	瀑布洞窟偵察兵
Waterfall Cave Exit	瀑布洞窟出口
Waterfall Cave Entrance	瀑布洞窟入口
Water from Azusa Forest.	來自梓樹森林的水。
Water Storage	蓄水池
Water Samples	水樣本
Water Quality Inspector	水質檢查員
Water Fox	水狐
Water Droplets	水滴
Water Bridge	水橋
Water Bottle	水瓶
Water Blaster R	水炮 R
Watchman Biho	看守比霍
Watchman Bad Bat Devil Pirate	看守惡蝠惡魔海盜
Watcher Needle Bee	監視針蜂
Watchdog of Kiri	奇里的看門狗
Wasteland Cactus	荒地仙人掌
Waste Transporter	廢棄物運輸車
Waste Disposal Checklist	廢棄物處理清單
Wasp Egg	黃蜂卵
Warriors	戰士們
Warrior's Equipment	戰士的裝備
Warrior form	戰士形態
Warrior Transformation	戰士變身
Warrior Roster	戰士名冊
Warrior Jacket	戰士外套
Warrior HTB	戰士 HTB
Warrior Lashan's Axe	戰士拉尚的斧
Warrior Lashan's Ax	戰士拉尚的斧
Warrior Lashan	戰士拉尚
Warm Sweater	保暖毛衣
Warm Red Bean Bunt	溫暖紅豆包
Warm Heart	溫暖的心
Warm Fur Coat	保暖毛皮大衣
Warehouse Report	倉庫報告
Warehouse Military Device	倉庫軍事裝置
Warehouse Manager Yung	倉庫管理員永
Warehouse	倉庫
Warden Buffalo	獄卒水牛
War Wolf	戰狼
War Machine	戰爭機器
Wanted Photo	通緝照片
Wanderer Mick	流浪者米克
Wanderer Clamp Saibaman	流浪夾菜花人
Walnut Saibaman Oil	核桃菜花人油
Walnut Saibaman Nucleus	核桃菜花人核
Walnut Saibaman Broth	核桃菜花人湯
Walnut Saibaman Bag	核桃菜花人袋
Walnut Saibaman	核桃菜花人
Yatelasi	亞特拉西
Yanbourine	揚布林
Yadratean	亞卓特人
[Marterial Art] LV UP 30! Cookie	［武道］升級 30！餅乾
