原文	填写中文
Wild Fire Ostrich	野火鴕鳥
Wild Feathers	野羽
Wild Experimental Robot	野生實驗機器人
Wild Dog Fur	野狗毛皮
Wild Boar Plunder Captain	野豬掠奪隊長
Wild Boar Plunder	野豬掠奪
Wild Boar Guerrilla	野豬游擊隊
Wild Boar Demon Pirate	野豬惡魔海盜
Wide Range Trueshot	廣域精準射擊
Wicky Martialarist	維奇武術家
Wicked Soul	邪惡之魂
Wicked Kebimong	邪惡凱比蒙
Wickander's Logo	維坎德的標誌
White-Eye Bingri	白眼冰里
White Weasel Fur	白鼬毛皮
White Weasel	白鼬
White Vial	白瓶
White Tuxedo	白色燕尾服
White Spider Saibaman	白蛛菜花人
White Snake Saibaman	白蛇菜花人
White Christmas Hat	白色聖誕帽
White Chocolay Syrup	白巧克力糖漿
White Chocolay	白巧克力
White Bearman	白熊人
White Beard Spear	白鬍子矛
White Bear Forced Worker	白熊強制勞工
White Bear	白熊
Whirlwind Saibaman	旋風菜花人
Whirling Strike	迴旋打擊
Whirling Attack	迴旋攻擊
Whipping Vine Seedlings	鞭藤幼苗
Whip Hurricane	鞭颶風
Wet Majin	濕潤魔人
Westland Spy Robot Core	西境間諜機器人核心
Westland Highway	西境公路
Westland Dojo	西境道場
Western Yahoi Spy Robot Core	西亞霍伊間諜機器人核心
Western Bar Markers	西部酒吧標記
West Dispatched Team's Empowerment	西部派遣隊強化
West City Spy Robota	西都間諜機器人
West City Spy Robot Core	西都間諜機器人核心
West City Instructor	西都教官
West City College	西都學院
West City Colleage	西都學院
West City Circular Bus	西都環線巴士
West Bank of Lake	湖西岸
Werewolf Occam	狼人奧卡姆
Well-Mature Devil Pirate	成熟惡魔海盜
Well Ghost	井鬼
Welded Door	焊接門
Welcome to Great Wall Gate 3.	歡迎來到長城門 3。
Welcome Wolf	歡迎狼
Weird Young Monster	怪異幼怪
Weird Vending Machine	怪異販賣機
Weird Trash Can	怪異垃圾桶
Weird Sharp Saibaman	怪異尖銳菜花人
Weird Mole Cricket	怪異螻蛄
Weird Egg	怪異蛋
Weight System	負重系統
Weight Hit	負重命中
Weight Effect 9 (over 130)	負重效果 9（超過 130）
Weight Effect 8 (over 130)	負重效果 8（超過 130）
Weight Effect 7 (over 130)	負重效果 7（超過 130）
Weight Effect 6 (over 130)	負重效果 6（超過 130）
Weight Effect 5 (over 120)	負重效果 5（超過 120）
Weight Effect 4 (over 120)	負重效果 4（超過 120）
Weight Effect 3 (over 110)	負重效果 3（超過 110）
Weight Effect 18 (Experience)	負重效果 18（經驗）
Weight Effect 17 (over 150)	負重效果 17（超過 150）
Weight Effect 16 (over 150)	負重效果 16（超過 150）
Weight Effect 15 (over 150)	負重效果 15（超過 150）
Weight Effect 14 (over 150)	負重效果 14（超過 150）
Weight Effect 13 (over 140)	負重效果 13（超過 140）
Weight Effect 12 (over 140)	負重效果 12（超過 140）
Weight Effect 11 (over 140)	負重效果 11（超過 140）
Weight Effect 10 (over 140)	負重效果 10（超過 140）
Weight Effect 1 (over 100)	負重效果 1（超過 100）
Weick's Skin Debris	韋克的皮膚碎片
Wei Dan	魏丹
Wedding Dress Type B	婚紗 Type B
Wedding Dress Type A	婚紗 Type A
Weasel Fur	鼬毛皮
Wear Item	穿戴道具
Weakness Dark Beam	弱點暗光束
Weakening Breath	弱化吐息
Weaken Wings	弱化之翼
Weaken Technique	弱化術
Weaken Defense EP Consume Reduce	弱化防禦 EP 消耗降低
Weaken Defense	弱化防禦
Weak Chicken Mask	弱雞面具
Way to Chocolay Tower	通往巧克力塔之路
Wavy Crocodile	波浪鱷魚
Waved Wings	波動之翼
Wave Hit	波擊
Wave Bird	波鳥
Waterway Worker Squad Leader	水道工作隊長
Waterway Sentry Squad Leader	水道哨兵隊長
Waterway Sentinel	水道哨兵
Waterway Security Guard Robot	水道警備機器人
Waterway Monster	水道怪物
Waterway Mining Robot	水道採礦機器人
Waterway Labour	水道勞工
Waterway Kaboong	水道卡邦
Waterway Clamp Saibaman	水道夾菜花人
Waterway Chief Inspector	水道總巡查
Watermill Area	水車地區
Watermelon Saibaman	西瓜菜花人
Watermelon Juice Concentrate [Majin]	西瓜汁濃縮液［魔人］
Watermelon Juice Concentrate [Human]	西瓜汁濃縮液［人類］
Watermelon Juice Concentrate	西瓜汁濃縮液
Waterfall Reflux	瀑布回流
