原文	填写中文
Bitter Cola	苦可樂
Hot Cocoia	熱可可
Slimy Yogurt	黏稠優格
Rumbling Yogurt	隆隆優格
Excellent Buttermilk	極品酪乳
CC Life Agent S	CC 生命劑 S
CC Life Agent M	CC 生命劑 M
CC Life Agent L	CC 生命劑 L
CC Life Agent X	CC 生命劑 X
CC Magic Agent S	CC 魔力劑 S
CC Magic Agent M	CC 魔力劑 M
CC Magic Agent L	CC 魔力劑 L
CC Magic Agent X	CC 魔力劑 X
Heart Life Agent S	心之生命劑 S
Heart Life Agent M	心之生命劑 M
Heart Life Agent L	心之生命劑 L
Heart Life Agent X	心之生命劑 X
Heart Magic Agent S	心之魔力劑 S
Heart Magic Agent M	心之魔力劑 M
Heart Magic Agent L	心之魔力劑 L
Heart Magic Agent X	心之魔力劑 X
Heart Military Rations N	心之軍糧 N
Heart Military Rations E	心之軍糧 E
Heart Military Rations T	心之軍糧 T
Heart Superior Mineral Water N	心之高級礦泉水 N
Heart Superior Mineral Water E	心之高級礦泉水 E
Heart Superior Mineral Water T	心之高級礦泉水 T
Mole Cricket Skewers	螻蛄串
Health Extract Saibaman Drink	健康精華栽培人飲
Delicious Foie Gras Stew	美味鵝肝燉
Cold Beautiful Fruit	冰涼美果
Double Chili Paste	雙倍辣椒醬
Strong Modified Chili Paste	強力改裝辣椒醬
Modified Muscle Chili Paste	改裝肌肉辣椒醬
Modified Energy Burst Chili Paste	改裝能量爆發辣椒醬
Modified Spirit Pepper Paste	改裝精神辣椒醬
Preservatives	防腐劑
Tasty Immortal Fish	美味不朽魚
Cuckoo Fried Chicken	布穀炸雞
Grilled Dinosaur Meat	烤恐龍肉
Corn Tea	玉米茶
Iced Lemon Tea	冰檸檬茶
Two Flavored Storm Drink	雙味暴風飲
Heaven's Pure Water	天界純水
Protective Net	防護網
Resurrection Popo [Personal]	復活波波［個人］
Concentrated Liquid Fuel [1]	濃縮液體燃料［1］
Pumpkin Sugar	南瓜糖
Pumpkin Fudge	南瓜軟糖
Oden Tempura	關東煮天婦羅
Baked Sweet Potatoes	烤地瓜
Grilled Grind Kaboong [Human]	烤磨卡崩［人類］
Insect Briskets [Human]	昆蟲胸肉［人類］
Roast Mole Cricket [Human]	烤螻蛄［人類］
Ginseng Chicken Soup [Human]	人參雞湯［人類］
Cranberry Juice [Human]	蔓越莓汁［人類］
Fruit Pop [Human]	水果汽泡［人類］
Peach Juice [Human]	桃汁［人類］
Red Bean Pop [Human]	紅豆汽泡［人類］
Cold Noodles [Human]	涼麵［人類］
Grilled Grind Kaboong [Majin]	烤磨卡崩［魔人］
Insect Brisket [Majin]	昆蟲胸肉［魔人］
Roast Mole Cricket [Majin]	烤螻蛄［魔人］
Ginseng Chicken Soup [Majin]	人參雞湯［魔人］
Cranberry Juice [Majin]	蔓越莓汁［魔人］
Fruit Pop [Majin]	水果汽泡［魔人］
Peach Juice [Majin]	桃汁［魔人］
Red Bean Pop [Majin]	紅豆汽泡［魔人］
Cold Noodles [Majin]	涼麵［魔人］
Grilled Grind Kaboong	烤磨卡崩
