原文	填写中文
Capsule Analysis Chip L	膠囊分析晶片 L
Asterisk Trumpet R	星號小號 R
Asterisk Trumpet L	星號小號 L
Apprise God Trumpet R	通知神小號 R
Ancient God Magic Bucket Clothes (Top)	古代神魔法桶服裝（上衣）
Ancient Child Dragon	古代幼龍
Ancient Ancestor Clothes	古代祖先服裝
Ancestral Trumpet Transmog (Ult)	祖先小號幻化（究極）
Ancestral Trumpet	祖先小號
Amor Lv 80 Stone	防具 Lv80 石
Alternate Super Powerful Ring TYPE-C Recipe	異界超強力戒指 TYPE-C 配方
Alternate Super Powerful Ring TYPE-B Recipe	異界超強力戒指 TYPE-B 配方
Alternate Super Powerful Magic Ring TYPE-C Recipe	異界超強力魔法戒指 TYPE-C 配方
Alternate Super Powerful Ghost Ring TYPE-B Recipe	異界超強力幽靈戒指 TYPE-B 配方
Alternate Super Powerful Earring TYPE-C Recipe	異界超強力耳環 TYPE-C 配方
Alternate Super Powerful Earring TYPE-B Recipe	異界超強力耳環 TYPE-B 配方
decreases attack and defense elements by %s.	攻擊與防禦屬性降低 %s。
[Warrior] Item Set	［戰士］道具組
[VIP] Warrior Integrated Package	［VIP］戰士整合禮包
[VIP] Mighty Majin Integrated Package	［VIP］強力魔人整合禮包
[VIP] Martial Art Integrated Package	［VIP］武道整合禮包
[Synthesis] Ultra Martial Arts (Shoes) L	［合成］超武道（鞋子）L
[Synthesis] Ultra Giant Wedding Gloves L	［合成］超巨型婚禮手套 L
[Synthesis] Super Satan Memorial Stick L	［合成］超撒旦紀念杖 L
[Synthesis] Giant Wedding Gloves L	［合成］巨型婚禮手套 L
[Synthesis] Giant Puu Wedding Gloves L	［合成］巨型普烏婚禮手套 L
[Synthesis] E Parunga Warrior Gauntlets EX	［合成］E 波倫加戰士護手 EX
[Synthesis] Best Giant Wedding Gloves L	［合成］最佳巨型婚禮手套 L
[Synthesis] Awesome Giant Wedding Gloves L	［合成］超棒巨型婚禮手套 L
[Modified] Turbo Fire Jet	［改裝］渦輪火焰噴射
[Modified] Sky Jet-Pack	［改裝］天空噴射背包
[Modified] Large Firecracker	［改裝］大型爆竹
[Modified] CC Rocket Jetpack	［改裝］CC 火箭噴射背包
[Mighty Majin] LV UP 30! Cookie	［強力魔人］升級 30！餅乾
[Mighty Majin] Item Set	［強力魔人］道具組
[Martial Art] LV UP 30! Cookie	［武道］升級 30！餅乾
[Martial Art] Item Set	［武道］道具組
[CBT] Warrior Integrated Package	［CBT］戰士整合禮包
[CBT] Mighty Majin Integrated Package	［CBT］強力魔人整合禮包
[CBT] Martial Art Integrated Package	［CBT］武道整合禮包
Zude Subordinate	祖德部下
Zu Mei	祖梅
Zoro Body	索隆身體
Zoom In / Out Buttons	放大／縮小按鈕
Zombie Type	殭屍類型
Zet Mach Needle Bee	澤特音速針蜂
Zet Fastaurs Feet	澤特快足
Zet Fastaurs	澤特快獸
Zero Tribute	Zero 貢品
Zero One Birthday	Zero One 生日
Zero One	Zero One
Zero Member Awakening!!	Zero 成員覺醒！！
Zero Member Awakening !	Zero 成員覺醒！
Zero Member	Zero 成員
Zero Head	Zero 頭
Zero Dogi	Zero 武道服
Zeni Scouter (Silver) [1 Day]	索尼偵察器（銀）［1 天］
Zeni Scouter (Gold) [1 Day]	索尼偵察器（金）［1 天］
Zeni Scouter (Copper) [7 Days]	索尼偵察器（銅）［7 天］
Zeni Scouter (Copper) [15 Days]	索尼偵察器（銅）［15 天］
Zeni Scouter (Copper) [1 Day]	索尼偵察器（銅）［1 天］
Zeni Scouter (Copper)	索尼偵察器（銅）
Zberry Energy Crystal	Z 莓能量水晶
Zangetsu Transmog	斬月幻化
Zangetsu R	斬月 R
Zangetsu L	斬月 L
Zangetsu EX	斬月 EX
Zanda Beetle	贊達甲蟲
Zalama Fragment	扎拉瑪碎片
Z Storm Gloves	Z 風暴手套
Z Hurricane R	Z 颶風 R
Z Hurricane L	Z 颶風 L
Z Hurricane EX	Z 颶風 EX
Z Hurricane	Z 颶風
Z Armlet Smash	Z 臂環猛擊
Yura Valley	尤拉谷
Yunzabit Tample	雲扎比特神殿
Yunzabit Land	雲扎比特之地
Yoy Mole Cricket	呦呦螻蛄
Your Inventory	你的背包
Young Papaya Mammoth	幼年木瓜猛瑪
Young Narak Cotton Tree	幼年納拉克棉樹
Young Mulgarisaurs	幼年穆加龍
Young Mole Cricket	幼年螻蛄
Young Hudadak Saurs	幼年胡達龍
Young Giran	幼年基然
Young Giant Mushroom	幼年巨大蘑菇
