原文	填写中文
[Probability Recipe] 3 color Popsicle EX	［機率配方］三色冰棒 EX
[Probability Recipe] Alchemist Dragon Suit (Pants) EX	［機率配方］煉金術師龍套裝（下裝）EX
[Probability Recipe] Alchemist Dragon Suit (Shoes) EX	［機率配方］煉金術師龍套裝（鞋子）EX
[Probability Recipe] Alchemist Dragon Suit (Top) EX	［機率配方］煉金術師龍套裝（上衣）EX
[Probability Recipe] Bi-colored Jade Wand EX	［機率配方］雙色翡翠杖 EX
[Probability Recipe] Birth of Dawn Gem EX	［機率配方］黎明誕生寶石 EX
[Probability Recipe] Choking Red Candy EX	［機率配方］嗆喉紅糖 EX
[Probability Recipe] Crystallization Gem EX	［機率配方］結晶寶石 EX
[Probability Recipe] E Blood Gauntlets EX	［機率配方］E 血色護手 EX
[Probability Recipe] E Buffer Gauntlets EX	［機率配方］E 緩衝護手 EX
[Probability Recipe] E Gatekeeper Gloves EX	［機率配方］E 守門人手套 EX
[Probability Recipe] E Insect Exoskeleton Gauntlets EX	［機率配方］E 昆蟲外骨骼護手 EX
[Probability Recipe] E Karinga Warrior Gauntlets EX	［機率配方］E 卡林加戰士護手 EX
[Probability Recipe] E Korin Totem Gauntlets EX	［機率配方］E 花梨圖騰護手 EX
[Probability Recipe] E Mechanical Gloves EX	［機率配方］E 機械手套 EX
[Probability Recipe] Gatekeeper Gloves EX	［機率配方］守門人手套 EX
[Probability Recipe] Heart pounding Drum EX	［機率配方］心跳鼓 EX
[Probability Recipe] Lollipop EX	［機率配方］棒棒糖 EX
[Probability Recipe] Mechanical Gloves EX	［機率配方］機械手套 EX
[Probability Recipe] Palm Magic Suit (Pants) EX	［機率配方］掌心魔法套裝（下裝）EX
[Probability Recipe] Palm Magic Suit (Shoes) EX	［機率配方］掌心魔法套裝（鞋子）EX
[Probability Recipe] Palm Magic Suit (Top) EX	［機率配方］掌心魔法套裝（上衣）EX
[Probability Recipe] Peppermint Lollipop EX	［機率配方］薄荷棒棒糖 EX
[Probability Recipe] Rainbow Wooden Trumpet EX	［機率配方］彩虹木製小號 EX
[Probability Recipe] True Overbearing Sword EX	［機率配方］真·霸劍 EX
[Probability Recipe] Vital Magic Suit (Pants) EX	［機率配方］活力魔法套裝（下裝）EX
[Probability Recipe] Vital Magic Suit (Shoes) EX	［機率配方］活力魔法套裝（鞋子）EX
[Probability Recipe] Vital Magic Suit (Top) EX	［機率配方］活力魔法套裝（上衣）EX
[Probability Recipe] Wind of War Armor (Top) EX	［機率配方］戰風鎧甲（上衣）EX
[Recipe] 3 color Popsicle EX	［配方］三色冰棒 EX
[Recipe] Alchemist Dragon Suit (Pants) EX	［配方］煉金術師龍套裝（下裝）EX
[Recipe] Alchemist Dragon Suit (Shoes) EX	［配方］煉金術師龍套裝（鞋子）EX
[Recipe] Alchemist Dragon Suit (Top) EX	［配方］煉金術師龍套裝（上衣）EX
[Recipe] Alternate Ultimate Era of Magic Earring TYPE-A	［配方］替代究極魔法時代耳環 TYPE-A
[Recipe] Alternate Ultimate Era of Magic Earring TYPE-C	［配方］替代究極魔法時代耳環 TYPE-C
[Recipe] Alternate Ultimate Era of Magic Ring TYPE-A	［配方］替代究極魔法時代戒指 TYPE-A
[Recipe] Alternate Ultimate Era of Magic Ring TYPE-C	［配方］替代究極魔法時代戒指 TYPE-C
[Recipe] Alternate Ultimate Era of Evil Earring TYPE-B	［配方］替代究極邪惡時代耳環 TYPE-B
[Recipe] Alternate Ultimate Era of Evil Ring TYPE-B	［配方］替代究極邪惡時代戒指 TYPE-B
[Recipe] Ancient Martial Art Clothes A	［配方］古代武道服 A
[Recipe] Ancient Martial Art Clothes B	［配方］古代武道服 B
[Recipe] Beanstalk	［配方］豆莖
[Recipe] Bi-colored Jade Wand EX	［配方］雙色翡翠杖 EX
[Recipe] Blast Battle Suit (Pants) EX	［配方］爆破戰鬥套裝（下裝）EX
[Recipe] Blast Battle Suit (Shoes) EX	［配方］爆破戰鬥套裝（鞋子）EX
[Recipe] Blast Battle Suit (Top) EX	［配方］爆破戰鬥套裝（上衣）EX
[Recipe] CC Future Trunk Jacket Type A	［配方］CC 未來特南克斯外套 Type A
[Recipe] Cosmo Drink	［配方］宇宙飲
[Recipe] Cream Soda	［配方］奶油蘇打
[Recipe] Crystallization Gem EX	［配方］結晶寶石 EX
[Recipe] Daily-Drink	［配方］每日飲品
[Recipe] Demigod Beans	［配方］半神豆
[Recipe] Detoxification Pill	［配方］解毒藥丸
[Recipe] Great Detoxification Pill	［配方］強效解毒藥丸
[Recipe] Premium Detoxification Pill	［配方］高級解毒藥丸
[Recipe] Pain Treatment Pill	［配方］止痛藥丸
[Recipe] Great Pain Treatment Pill	［配方］強效止痛藥丸
[Recipe] Extra Pain Treatment Pill	［配方］特效止痛藥丸
[Recipe] Emerald Battle Gear (Pants) EX	［配方］翡翠戰鬥裝備（下裝）EX
[Recipe] Emerald Battle Gear (Shoes) EX	［配方］翡翠戰鬥裝備（鞋子）EX
[Recipe] Emerald Battle Gear (Top) EX	［配方］翡翠戰鬥裝備（上衣）EX
[Recipe] Hard Magic Clothes (Pants) EX	［配方］硬質魔法服裝（下裝）EX
[Recipe] Hard Magic Clothes (Shoes) EX	［配方］硬質魔法服裝（鞋子）EX
[Recipe] Hard Magic Clothes (Top) EX	［配方］硬質魔法服裝（上衣）EX
[Recipe] Shadowless Soldier (Pants) EX	［配方］無影士兵（下裝）EX
[Recipe] Shadowless Soldier (Shoes) EX	［配方］無影士兵（鞋子）EX
[Recipe] Shadowless Soldier (Top) EX	［配方］無影士兵（上衣）EX
[Recipe] Super traditional Dragon Suit (Pants) L	［配方］超傳統龍套裝（下裝）L
[Recipe] Super traditional Dragon Suit (Shoes) L	［配方］超傳統龍套裝（鞋子）L
[Recipe] Super traditional Dragon Suit (Top) L	［配方］超傳統龍套裝（上衣）L
[Recipe] Super Demon Hunting Suit (Pants) L	［配方］超獵魔套裝（下裝）L
[Recipe] Super Demon Hunting Suit (Shoes) L	［配方］超獵魔套裝（鞋子）L
[Recipe] Super Demon Hunting Suit (Top) L	［配方］超獵魔套裝（上衣）L
[Recipe] True Overbearing Sword EX	［配方］真·霸劍 EX
[Recipe] Ultra-Stable Necklace L1	［配方］超穩定項鍊 L1
[Recipe] Ultra-Stable Necklace L2	［配方］超穩定項鍊 L2
[Recipe] Ultra-Stable Necklace L3	［配方］超穩定項鍊 L3
[Recipe] Ultra-Stable Necklace L4	［配方］超穩定項鍊 L4
[Recipe] Ultra-Stable Necklace L5	［配方］超穩定項鍊 L5
[Recipe] Vital Magic Suit (Pants) EX	［配方］活力魔法套裝（下裝）EX
[Recipe] Vital Magic Suit (Shoes) EX	［配方］活力魔法套裝（鞋子）EX
[Recipe] Vital Magic Suit (Top) EX	［配方］活力魔法套裝（上衣）EX
[Recipe] War Dragon Bird (Pants) EX	［配方］戰龍鳥（下裝）EX
[Recipe] War Dragon Bird (Shoes) EX	［配方］戰龍鳥（鞋子）EX
[Recipe] War Dragon Bird (Top) EX	［配方］戰龍鳥（上衣）EX
[Synthesis] Vital Magic Suit (Pants) EX	［合成］活力魔法套裝（下裝）EX
[Synthesis] Vital Magic Suit (Shoes) EX	［合成］活力魔法套裝（鞋子）EX
[Synthesis] Vital Magic Suit (Top) EX	［合成］活力魔法套裝（上衣）EX
[Synthesis] Shadowless Soldier Gear (Pants) EX	［合成］無影士兵裝備（下裝）EX
[Synthesis] Shadowless Soldier Gear (Shoes) EX	［合成］無影士兵裝備（鞋子）EX
[Synthesis] Shadowless Soldier Gear (Top) EX	［合成］無影士兵裝備（上衣）EX
[Synthesis] Alchemist Dragon Suit (Pants) EX	［合成］煉金術師龍套裝（下裝）EX
[Synthesis] Alchemist Dragon Suit (Shoes) EX	［合成］煉金術師龍套裝（鞋子）EX
[Synthesis] Alchemist Dragon Suit (Top) EX	［合成］煉金術師龍套裝（上衣）EX
[Synthesis] True Overbearing Sword EX	［合成］真·霸劍 EX
[Synthesis] Blast Battle Suit (Pants) EX	［合成］爆破戰鬥套裝（下裝）EX
[Synthesis] Blast Battle Suit (Shoes) EX	［合成］爆破戰鬥套裝（鞋子）EX
[Synthesis] Blast Battle Suit (Top) EX	［合成］爆破戰鬥套裝（上衣）EX
