原文	填写中文
Liquid Fuel [1 Day]	液體燃料［1 天］
Liquid Fuel S1 [1 Day]	液體燃料 S1［1 天］
Liquid Fuel S2 [1 Day]	液體燃料 S2［1 天］
God's Seed	神之種
Kami's Yellow Seed	天神黃種
Kami's Purple Seed	天神紫種
Kami's Light Emitting Seed	天神發光種
Purple Powder.	紫色粉末。
Moonlight Fragment	月光碎片
High Leveled Devil Fighter [1 Day]	高級惡魔鬥士［1 天］
Patrol BUFF	巡邏增益
Patrol BUFF Instructions	巡邏增益說明
Dark Devil Supply Crate	黑暗惡魔補給箱
Resurrection for Beginners	新手復活
EV Kidd Silver Keepsake	EV 基德銀紀念物
EV Kidd Golden Keepsake	EV 基德金紀念物
Storm Fighter	暴風鬥士
Hurricane Katana	颶風刀
Shining Storm	閃耀暴風
Powerful Idealist	強力理想家
Powerful Dreamer	強力夢想家
Godly Flame	神聖火焰
Godly Soul	神聖靈魂
Royal Soul	皇家靈魂
Shining Sun	閃耀太陽
Immortal Soul	不朽靈魂
Blitz Fighter	閃擊鬥士
Blitz Speed	閃擊速度
Cyclone Katana	旋風刀
Shining Twister	閃耀龍捲
Dominant Visionary	支配遠見者
Dominant Optimist	支配樂觀者
Saint Inferno	聖焰煉獄
Saint Spirit	聖魂
Pleasant Heart	愉悅之心
Eternal Soul	永恆靈魂
Banished Chest	放逐寶箱
Cursed Chest	詛咒寶箱
Calm Chest A	平靜寶箱 A
Calm Chest B	平靜寶箱 B
Tobi Mask	帶土面具
Neptune Hair(Female)	海王星髮型（女）
Neptune Hair.	海王星髮型。
Gorgeous Treasure Chest A	華麗寶箱 A
Gorgeous Treasure Chest B	華麗寶箱 B
Gorgeous Treasure Chest C	華麗寶箱 C
Gorgeous Treasure Chest D	華麗寶箱 D
Treasure? Spoon	寶藏？湯匙
General? Spoon	將軍？湯匙
Created by Ryo, Kunay, Takashi and Tobi	由 Ryo、Kunay、Takashi 與 Tobi 製作
Orange Dye	橙色染料
Deep Blue Dye	深藍染料
Poi Hair Dye	Poi 染髮劑
Elite Uniform Dye	精英制服染料
Dazzling Hair Dye	耀眼染髮劑
Senzu Beans	仙豆
Half Senzu Bean	半顆仙豆
Meat Dumpling	肉包子
Fried Cuckoo Chicken	炸布穀雞
Pterosaur Steak	翼龍牛排
Roasted Venison	烤鹿肉
Polar Bear Steak	北極熊牛排
Dinosaur Steak	恐龍牛排
Kami's Mushrooms	天神蘑菇
Divine Water Root	神水根
Spa Moss	溫泉苔
Phoenix Tree Leaves	鳳凰樹葉
Cultivated Leaf	栽培之葉
Leaves of the Four Seasons	四季之葉
Leaves of Youth	青春之葉
Smiling Candy	微笑糖果
Crisp Cookie	脆餅
QQ Snack	QQ 點心
Four Seasons Leaf	四季葉
Eye-Lighting Candy	明目糖
Magical Drink	魔法飲料
Salt Water	鹽水
Divine Water	神水
Sweet Jelly	甜果凍
Heaven's Water	天界之水
