原文	填写中文
Advanced Armor Upgrade Stone U50 [3x]	進階防具強化石 U50［3×］
Advanced Armor Upgrade Stone U50 [10x]	進階防具強化石 U50［10×］
Advanced Armor Upgrade Stone U46 [5x]	進階防具強化石 U46［5×］
Advanced Armor Upgrade Stone U46 [3x]	進階防具強化石 U46［3×］
Advanced Armor Upgrade Stone U46 [10x]	進階防具強化石 U46［10×］
Advanced Armor Upgrade Stone U42 [5x]	進階防具強化石 U42［5×］
Advanced Armor Upgrade Stone U42 [3x]	進階防具強化石 U42［3×］
Advanced Armor Upgrade Stone U42 [10x]	進階防具強化石 U42［10×］
Super Conventional Dragon Suit (Top) L	超常規龍套裝（上衣）L
Super Conventional Dragon Suit (Shoes) L	超常規龍套裝（鞋子）L
Super Conventional Dragon Suit (Pants) L	超常規龍套裝（下裝）L
God Dragon Every Day Clothes (Top) R	神龍日常服裝（上衣）R
God Dragon Every Day Clothes (Top) L	神龍日常服裝（上衣）L
God Dragon Every Day Clothes (Shoes) R	神龍日常服裝（鞋子）R
God Dragon Every Day Clothes (Shoes) L	神龍日常服裝（鞋子）L
God Dragon Every Day Clothes (Pants) R	神龍日常服裝（下裝）R
God Dragon Every Day Clothes (Pants) L	神龍日常服裝（下裝）L
God Magic Dragon Clothes (Top) R	神魔法龍服裝（上衣）R
God Magic Dragon Clothes (Top) L	神魔法龍服裝（上衣）L
God Magic Dragon Clothes (Shoes) R	神魔法龍服裝（鞋子）R
God Magic Dragon Clothes (Shoes) L	神魔法龍服裝（鞋子）L
God Magic Dragon Clothes (Shoes) EX	神魔法龍服裝（鞋子）EX
God Magic Dragon Clothes (Pants) R	神魔法龍服裝（下裝）R
God Magic Dragon Clothes (Pants) L	神魔法龍服裝（下裝）L
God Magic Dragon Clothes (Pants) EX	神魔法龍服裝（下裝）EX
God Battle Dragon Gear (Top) EX	神戰鬥龍裝備（上衣）EX
God Battle Dragon Gear (Top) R	神戰鬥龍裝備（上衣）R
God Battle Dragon Gear (Top) L	神戰鬥龍裝備（上衣）L
God Battle Dragon Gear (Shoes) R	神戰鬥龍裝備（鞋子）R
God Battle Dragon Gear (Shoes) L	神戰鬥龍裝備（鞋子）L
God Battle Dragon Gear (Pants) R	神戰鬥龍裝備（下裝）R
God Battle Dragon Gear (Pants) L	神戰鬥龍裝備（下裝）L
God Dragon Staff R	神龍杖 R
Honest God Dragon Gauntlets L	正直神龍護手 L
E Honest God Dragon Gauntlets	E 正直神龍護手
P Honest God Dragon Gloves	P 正直神龍手套
P Korin Totem Gauntlets EX	P 花梨圖騰護手 EX
P Korin Totem Gauntlets R	P 花梨圖騰護手 R
P Korin Totem Gauntlets L	P 花梨圖騰護手 L
Dragon Molar Teeth Sword R	龍牙劍 R
Capsule Machine Rare Ring R	扭蛋機稀有戒指 R
Capsule Machine Rare Earring R	扭蛋機稀有耳環 R
Young Saibaman Dragon	幼年菜花龍
Yellow Korin Flower	黃色花梨花
Yardrats Premium Bank Key	亞卓特高級銀行鑰匙
Wooden Prison Key	木製監獄鑰匙
Warehouse Secret Key	倉庫秘密鑰匙
Wild Vegetables	野菜
Wild Turkey Meat	野火雞肉
Wild Turkey	野火雞
Wild Monkey	野猴
Wild Flying Pulnarodon	野生舞空普爾納羅東
War Monkey	戰猴
Wagu Coin [5x]	瓦古幣［5×］
Wagu Coin [50x]	瓦古幣［50×］
Wagu Coin [20x]	瓦古幣［20×］
Wagu Coin [1x]	瓦古幣［1×］
Wagu Coin [10x]	瓦古幣［10×］
Wagu Coin	瓦古幣
WC Commemorative Coins	WC 紀念幣
Vovo Gohan	沃沃悟飯
Vegeta Xenoverse	貝吉塔 Xenoverse
Valley Dragon	山谷之龍
Unknown Pocket Coin	未知口袋幣
Universal Dragon Soul	宇宙龍魂
Ultimate Giant Donkey Slash	究極巨驢斬
Ultimate Dragon's Will	究極龍之意志
Ultimate Dragon's Punishment	究極龍之懲罰
Ultimate Dragon's Protection	究極龍之守護
Ultimate Dragon's Pledge	究極龍之誓約
Ultimate Dragon's Oath	究極龍之誓言
Ultimate Dragon Strike	究極龍擊
Ultimate Dragon God's Fury	究極龍神之怒
Ultimate Donkey Slash	究極驢斬
[Synthesis] Giant Buu Memorial Gloves L	［合成］巨型布歐紀念手套 L
[Synthesis] Best Buu Memorial Gloves L	［合成］最佳布歐紀念手套 L
[Recipe] Best Buu Memorial Gloves L	［配方］最佳布歐紀念手套 L
[Recipe] Awesome Buu Memorial Gloves L	［配方］超棒布歐紀念手套 L
