原文	填写中文
Super Era of Magic TYPE-A	超魔法時代 TYPE-A
Super Era of Magic Necklace TYPE-A	超魔法時代項鍊 TYPE-A
Super Era of Evil TYPE-B	超邪惡時代 TYPE-B
Super Era of Evil Necklace TYPE-B	超邪惡時代項鍊 TYPE-B
Ultimate Era TYPE-A	究極時代 TYPE-A
Ultimate Era Necklace TYPE-A	究極時代項鍊 TYPE-A
Ultimate Era TYPE-B	究極時代 TYPE-B
Ultimate Era Necklace TYPE-B	究極時代項鍊 TYPE-B
Ultimate Era TYPE-C	究極時代 TYPE-C
Ultimate Era Necklace TYPE-C	究極時代項鍊 TYPE-C
Alternate Tiger Earring TYPE-B	交替虎耳環 TYPE-B
Alternate Tiger Earring TYPE-C	交替虎耳環 TYPE-C
Era of Energy Earring TYPE-A	能量時代耳環 TYPE-A
Alternate Era of Energy Earring TYPE-A	交替能量時代耳環 TYPE-A
Era of Soul Earring TYPE-B	靈魂時代耳環 TYPE-B
Alternate Era of Soul Earring TYPE-B	交替靈魂時代耳環 TYPE-B
Era of Energy Earring TYPE-C	能量時代耳環 TYPE-C
Alternate Era of Energy Earring TYPE-C	交替能量時代耳環 TYPE-C
Era of Mystic Earring TYPE-A	神秘時代耳環 TYPE-A
Alternate Era of Mystic Earring TYPE-A	交替神秘時代耳環 TYPE-A
Era of Oversoul Earring TYPE-B	超魂時代耳環 TYPE-B
Alternate Era of Oversoul Earring TYPE-B	交替超魂時代耳環 TYPE-B
Era of Mystic Earring TYPE-C	神秘時代耳環 TYPE-C
Alternate Era of Mystic Earring TYPE-C	交替神秘時代耳環 TYPE-C
Era of Magic Earring TYPE-A	魔法時代耳環 TYPE-A
Alternate Era of Magic Earring TYPE-A	交替魔法時代耳環 TYPE-A
Era of Evil Earring TYPE-B	邪惡時代耳環 TYPE-B
Alternate Era of Evil Earring TYPE-B	交替邪惡時代耳環 TYPE-B
Era of Magic Earring TYPE-C	魔法時代耳環 TYPE-C
Alternate Era of Magic Earring TYPE-C	交替魔法時代耳環 TYPE-C
Alternate Super Era Earring TYPE-A	交替超時代耳環 TYPE-A
Alternate Super Era Earring TYPE-B	交替超時代耳環 TYPE-B
Alternate Super Era Earring TYPE-C	交替超時代耳環 TYPE-C
Alternate Super Era of Magic Earring TYPE-A	交替超魔法時代耳環 TYPE-A
Alternate Super Era of Evil Earring TYPE-B	交替超邪惡時代耳環 TYPE-B
Alternate Super Era of Magic Earring TYPE-C	交替超魔法時代耳環 TYPE-C
Alternate Tiger Ring TYPE-B	交替虎戒指 TYPE-B
Alternate Tiger Ring TYPE-C	交替虎戒指 TYPE-C
Era of Energy Ring TYPE-A	能量時代戒指 TYPE-A
Alternate Era of Energy Ring TYPE-A	交替能量時代戒指 TYPE-A
Era of Soul Ring TYPE-B	靈魂時代戒指 TYPE-B
Alternate Era of Soul Ring TYPE-B	交替靈魂時代戒指 TYPE-B
Era of Energy Ring TYPE-C	能量時代戒指 TYPE-C
Alternate Era of Energy Ring TYPE-C	交替能量時代戒指 TYPE-C
Era of Mystic Ring TYPE-A	神秘時代戒指 TYPE-A
Alternate Era of Mystic Ring TYPE-A	交替神秘時代戒指 TYPE-A
Era of Oversoul Ring TYPE-B	超魂時代戒指 TYPE-B
Alternate Era of Oversoul Ring TYPE-B	交替超魂時代戒指 TYPE-B
Era of Mystic Ring TYPE-C	神秘時代戒指 TYPE-C
Alternate Era of Mystic Ring TYPE-C	交替神秘時代戒指 TYPE-C
Era of Magic Ring TYPE-A	魔法時代戒指 TYPE-A
Alternate Era of Magic Ring TYPE-A	交替魔法時代戒指 TYPE-A
Era of Evil Ring TYPE-B	邪惡時代戒指 TYPE-B
Alternate Era of Evil Ring TYPE-B	交替邪惡時代戒指 TYPE-B
Era of Magic Ring TYPE-C	魔法時代戒指 TYPE-C
Alternate Era of Magic Ring TYPE-C	交替魔法時代戒指 TYPE-C
Alternate Super Era Ring TYPE-A	交替超時代戒指 TYPE-A
Alternate Super Era Ring TYPE-B	交替超時代戒指 TYPE-B
Alternate Super Era Ring TYPE-C	交替超時代戒指 TYPE-C
Alternate Super Era of Magic Ring TYPE-A	交替超魔法時代戒指 TYPE-A
Alternate Super Era of Evil Ring TYPE-B	交替超邪惡時代戒指 TYPE-B
Alternate Super Era of Magic Ring TYPE-C	交替超魔法時代戒指 TYPE-C
Super Powerful Ghost Staff TYPE-B	超強力幽靈杖 TYPE-B
Super Powerful Immortal Fan	超強力不朽扇
Super Powerful Huge Club	超強力巨大棍棒
Super Powerful Necklace TYPE-B	超強力項鍊 TYPE-B
Super Powerful Necklace TYPE-C	超強力項鍊 TYPE-C
