原文	填写中文
Magic Comfort Suit Star Edition (Top) EX	魔法舒適套裝星版（上衣）EX
Magic Comfort Suit Star Edition (Top)	魔法舒適套裝星版（上衣）
Magic Comfort Suit Star Edition (Shoes) EX	魔法舒適套裝星版（鞋子）EX
Magic Comfort Suit Star Edition (Shoes)	魔法舒適套裝星版（鞋子）
Magic Comfort Suit Star Edition (Pants) EX	魔法舒適套裝星版（下裝）EX
Magic Comfort Suit Star Edition (Pants)	魔法舒適套裝星版（下裝）
Magic Comfort Suit Special Version (Top) EX	魔法舒適套裝特別版（上衣）EX
Magic Comfort Suit Special Version (Shoes) EX	魔法舒適套裝特別版（鞋子）EX
Magic Comfort Suit Special Version (Pants) EX	魔法舒適套裝特別版（下裝）EX
Magic Comfort Suit Dawn Edition (Top) EX	魔法舒適套裝黎明版（上衣）EX
Magic Comfort Suit Dawn Edition (Top)	魔法舒適套裝黎明版（上衣）
Magic Comfort Suit Dawn Edition (Shoes) EX	魔法舒適套裝黎明版（鞋子）EX
Magic Comfort Suit Dawn Edition (Shoes)	魔法舒適套裝黎明版（鞋子）
Magic Comfort Suit Dawn Edition (Pants) EX	魔法舒適套裝黎明版（下裝）EX
Magic Comfort Suit Dawn Edition (Pants)	魔法舒適套裝黎明版（下裝）
Magic Comfort Suit Crystal Gem Version (Top) EX	魔法舒適套裝水晶寶石版（上衣）EX
Magic Celebration Clothes (Top) EX	魔法慶典服裝（上衣）EX
Magic Celebration Clothes (Top)	魔法慶典服裝（上衣）
Magic Celebration Clothes (Shoes) EX	魔法慶典服裝（鞋子）EX
Magic Celebration Clothes (Shoes)	魔法慶典服裝（鞋子）
Magic Celebration Clothes (Pants) EX	魔法慶典服裝（下裝）EX
Magic Celebration Clothes (Pants)	魔法慶典服裝（下裝）
Magic Battlefield Clothes (Top)	魔法戰場服裝（上衣）
Magic Battlefield Clothes (Shoes)	魔法戰場服裝（鞋子）
Magic Battlefield Clothes (Pants)	魔法戰場服裝（下裝）
Mafia Outfit	黑手黨服裝
Luffy Clothes	魯夫服裝
Low Rank Pet Feed	低級寵物飼料
Lotus Magic Suit Night Suit (Top) EX	蓮花魔法套裝夜間版（上衣）EX
Kenny Outfit	肯尼服裝
Galaxy Bliss Magic Suit (Shoes)	銀河極樂魔法套裝（鞋子）
Galaxy Bliss Magic Suit (Pants)	銀河極樂魔法套裝（下裝）
Fuwa Outfit	芙瓦服裝
Future Trunks Outfit (DBZ)	未來特南克斯服裝（DBZ）
Future Sword Suit	未來劍套裝
Fresh Lotus Magic Suit (Top) EX	清新蓮花魔法套裝（上衣）EX
Fresh Lotus Magic Suit (Top)	清新蓮花魔法套裝（上衣）
Fresh Lotus Magic Suit (Shoes) EX	清新蓮花魔法套裝（鞋子）EX
Fresh Lotus Magic Suit (Shoes)	清新蓮花魔法套裝（鞋子）
Fresh Lotus Magic Suit (Pants) EX	清新蓮花魔法套裝（下裝）EX
Feel the Energy of Shenron!	感受神龍的能量！
Feel the Dexterity of Shenron!	感受神龍的敏捷！
Feel the Constitution of Shenron!	感受神龍的體質！
Fat Vegeta	胖貝吉塔
Fat Dragon Frog	胖龍蛙
Fascination Scroll	魅惑卷軸
Farmer Peter	農夫彼得
Fallen Namekian	墮落的那美克人
Fallen Dark Namekian	墮落的黑暗那美克人
Faithful Dragon	忠誠之龍
Fainted Dragon of Trials	昏迷的試煉之龍
Explorer Set Capsule Type C	探險家套裝膠囊 Type C
Explorer Set Capsule Type B	探險家套裝膠囊 Type B
Explorer Set Capsule Type A	探險家套裝膠囊 Type A
Explorer Outfit Type C	探險家服裝 Type C
Explorer Outfit Type B	探險家服裝 Type B
Explorer Outfit Type A	探險家服裝 Type A
Explorer Hat Capsule	探險家帽膠囊
Exercise Every Day Clothes (Top) EX	運動日常服裝（上衣）EX
Exercise Every Day Clothes (Top)	運動日常服裝（上衣）
Exercise Every Day Clothes (Shoes) EX	運動日常服裝（鞋子）EX
Exercise Every Day Clothes (Shoes)	運動日常服裝（鞋子）
Exercise Every Day Clothes (Pants) EX	運動日常服裝（下裝）EX
Exercise Every Day Clothes (Pants)	運動日常服裝（下裝）
Evil Instructor Clothes	邪惡教官服裝
Evil Dragon of Trials	邪惡試煉之龍
Every Day Space Suit (Top) EX	日常太空套裝（上衣）EX
Every Day Space Suit (Shoes) EX	日常太空套裝（鞋子）EX
