原文	填写中文
Pet Symbiosis	寵物共生
Pet Absorption	寵物吸收
[Synthesis] Yin & Yang Spirit Suit (Top) EX	［合成］陰陽精靈套裝（上衣）EX
[Synthesis] Yin & Yang Spirit Suit (Shoes) EX	［合成］陰陽精靈套裝（鞋子）EX
[Synthesis] Yin & Yang Spirit Suit (Pants) EX	［合成］陰陽精靈套裝（下裝）EX
[Synthesis] Super Black Magic Suit (Top) EX	［合成］超黑魔法套裝（上衣）EX
[Synthesis] Super Black Magic Suit (Shoes) EX	［合成］超黑魔法套裝（鞋子）EX
[Synthesis] Super Black Magic Suit (Pants) EX	［合成］超黑魔法套裝（下裝）EX
[Synthesis] Prototype Magic Rubber Suit (Top) EX	［合成］原型魔法橡膠套裝（上衣）EX
[Synthesis] Prototype Magic Rubber Suit (Shoes) EX	［合成］原型魔法橡膠套裝（鞋子）EX
[Synthesis] Prototype Magic Rubber Suit (Pants) EX	［合成］原型魔法橡膠套裝（下裝）EX
[Synthesis] Prototype CC Spirit Clothes (Top) EX	［合成］原型 CC 精靈服裝（上衣）EX
[Synthesis] Prototype CC Spirit Clothes (Shoes) EX	［合成］原型 CC 精靈服裝（鞋子）EX
[Synthesis] Prototype CC Spirit Clothes (Pants) EX	［合成］原型 CC 精靈服裝（下裝）EX
[Synthesis] Magic Rubber Suit (Top) EX	［合成］魔法橡膠套裝（上衣）EX
[Synthesis] Magic Rubber Suit (Shoes) EX	［合成］魔法橡膠套裝（鞋子）EX
[Synthesis] Magic Rubber Suit (Pants) EX	［合成］魔法橡膠套裝（下裝）EX
[Synthesis] Light Magic Suit (Top) EX	［合成］光魔法套裝（上衣）EX
[Synthesis] Light Magic Suit (Shoes) EX	［合成］光魔法套裝（鞋子）EX
[Synthesis] Light Magic Suit (Pants) EX	［合成］光魔法套裝（下裝）EX
[Synthesis] Happy Adorable Suit (Top) EX	［合成］快樂可愛套裝（上衣）EX
[Synthesis] Happy Adorable Suit (Shoes) EX	［合成］快樂可愛套裝（鞋子）EX
[Synthesis] Happy Adorable Suit (Pants) EX	［合成］快樂可愛套裝（下裝）EX
[Synthesis] Gale Magic Bucket Suit (Top) EX	［合成］疾風魔法桶套裝（上衣）EX
[Synthesis] Gale Magic Bucket Suit (Shoes) EX	［合成］疾風魔法桶套裝（鞋子）EX
[Synthesis] Gale Magic Bucket Suit (Pants) EX	［合成］疾風魔法桶套裝（下裝）EX
[Synthesis] Earth Spirit Clothes (Top) EX	［合成］大地精靈服裝（上衣）EX
[Synthesis] Earth Spirit Clothes (Shoes) EX	［合成］大地精靈服裝（鞋子）EX
[Synthesis] Earth Spirit Clothes (Pants) EX	［合成］大地精靈服裝（下裝）EX
[Synthesis] Broadwood Magic Suit (Top) EX	［合成］闊木魔法套裝（上衣）EX
[Synthesis] Broadwood Magic Suit (Shoes) EX	［合成］闊木魔法套裝（鞋子）EX
[Synthesis] Broadwood Magic Suit (Pants) EX	［合成］闊木魔法套裝（下裝）EX
[Recipe] God Combat Outfit [Awakening]	［配方］神戰鬥服裝［覺醒］
[Lower] Fly Enhancement [120 Min]	［低階］舞空強化［120 分］
