原文	填写中文
Saike Luo Robot T-002	賽克羅機器人 T-002
Saike Luo Robot T-003	賽克羅機器人 T-003
Saike Luo Robot T-004	賽克羅機器人 T-004
Beamletts Wang Seoul	光束王首爾
Sweet Heart Wang Seoul	甜心王首爾
Small Flame Wang Seoul	小火焰王首爾
Great Flame Wang Seoul	大火焰王首爾
Volcano Wang Seoul	火山王首爾
Oscar Puar	奧斯卡普爾
Little Dream Puar	小夢普爾
Red Dream Puar	紅夢普爾
Good Luck Poo	幸運噗
Brave Poo	勇敢噗
Energetic Poo	活力噗
Hairlines Poo	髮線噗
Bloom Plant	綻放植物
Advanced Roby	高級羅比
Great Saiyaman LV3	偉大賽亞人 LV3
Kamiccolo-Sama LV4	神比克大人 LV4
Dissasemble Ring [7Day]	拆解戒指［7 天］
Delivery Ring+ [15 Days]	運送戒指＋［15 天］
Delivery Ring+ [30 Days]	運送戒指＋［30 天］
Remote Repair Ring	遠程修理戒指
Remote Repair Ring [15 Days]	遠程修理戒指［15 天］
Remote Repair Ring [30 Days]	遠程修理戒指［30 天］
Remote Identification Ring	遠程鑑定戒指
Remote Identification Ring [15 Days]	遠程鑑定戒指［15 天］
Remote Identification Ring [30 Days]	遠程鑑定戒指［30 天］
Bean of Forgetfulness	遺忘豆
Featuring Attack on Titan	聯名・進擊的巨人
Featuring Dandandan	聯名・膽大黨
A Very Beatiful Cat Ears	非常漂亮的貓耳
Featuring One Piece Oda Genius	聯名・海賊王
Featuring Uzumaki Naruto Costume.	聯名・漩渦鳴人服裝。
A Transmog for SK.	SK 幻化。
A Transmog for Chieff	酋長幻化
Demon Lord Milim Hair From slime Datta Ken	來自轉生史萊姆的魔王米莉姆髮型
Featuring Naruto Shippuden.	聯名・火影疾風傳。
Featuring Spider-Verse	聯名・蜘蛛宇宙
Featuring Hollow Knight	聯名・空洞騎士
Presents on DBO Zero Halloween!	DBO Zero 萬聖節贈禮！
Featuring Ace Force.	聯名・王牌部隊。
Featuring Jujutsu.	聯名・咒術迴戰。
Featuring Forger Family	聯名・佛傑一家
Straight from the Demon Realm.	來自魔界。
Featuring Beyond Journey's End.	聯名・葬送的芙莉蓮。
Featuring One Piece(Oda Genius)	聯名・海賊王
Featuring Berserk.	聯名・烙印勇士。
Renji Abarai Shikai, Featuring Bleach.	阿散井戀次始解，聯名・死神。
Trade by Certificate	證書交易
An Event Item.	活動道具。
Featuring Adventure Time.	聯名・探險活寶。
Featuring Tokyo Ghoul	聯名・東京喰種
Featuring Chainsaw Man.	聯名・鏈鋸人。
Featuring Yu Yu Hakusho.	聯名・幽遊白書。
Blood Combat Pants TYPE-A	血戰下裝 TYPE-A
Blood Combat Shoes TYPE-A	血戰鞋 TYPE-A
Super Blood Combat Pants TYPE-A	超血戰下裝 TYPE-A
Super Blood Combat Shoes TYPE-A	超血戰鞋 TYPE-A
Ultimate Blood Combat Pants TYPE-A	究極血戰下裝 TYPE-A
Ultimate Blood Combat Shoes TYPE-A	究極血戰鞋 TYPE-A
No-Limit Blood Combat Pants TYPE-A	無限制血戰下裝 TYPE-A
