原文	填写中文
Gold Chest Key [2x]	金箱鑰匙［2×］
Gold Chest Key [10x]	金箱鑰匙［10×］
Goku Outfit (King Kai Emblem)	悟空服裝（界王標誌）
Goku House	悟空的家
Goku Gi (Roshi Emblem)	悟空武道服（龜仙人標誌）
Goku Gi (King Kai Emblem)	悟空武道服（界王標誌）
Goku Drip	悟空潮服
Goku City Outfit	悟空城市服裝
God Pedestal Scroll	神座卷軸
God Dragon Hunting	神龍狩獵
God Boundary Scroll	神界卷軸
Glory Stone EX	榮耀石 EX
Ginseng Chicken Soup [Namek]	人參雞湯［那美克］
Gigi Meite's Key	吉吉·梅特的鑰匙
Gigantic Flame Dragon	巨焰之龍
Giant Vegetarian Manure	巨大素食肥料
Giant Stone Body	巨石之軀
Giant Dragon Ball Radar	巨型龍珠雷達
Giant Donkey Slash	巨驢斬
General Practice Capsule	一般練習膠囊
General EXP Scroll [7 Days]	一般經驗卷軸［7 天］
General EXP Scroll [1 Day]	一般經驗卷軸［1 天］
Gemstone Wand EX	寶石魔杖 EX
Gemstone Wand	寶石魔杖
Fury Child Dragon	憤怒幼龍
Furious Dragon	狂怒之龍
Full Moon Capsule	滿月膠囊
Fruit Pop [Namek]	水果汽水［那美克］
Frieza's Remnants Invasion	弗利薩殘黨入侵
Frieza's Remnants HQ	弗利薩殘黨總部
Frieza's Pit	弗利薩之坑
Frieza's Guerrilla Scout	弗利薩游擊偵察兵
Frieza's Guerrilla Robot	弗利薩游擊機器人
Frieza's Great Statue	弗利薩巨像
Frieza's Field Battle Guerrilla	弗利薩野戰游擊隊
Frieza's Army Transmitter	弗利薩軍發報機
Frieza's Army Teleporter	弗利薩軍傳送器
Frieza's Army Signalman	弗利薩軍通信兵
Frieza's Army Secret Police	弗利薩軍秘密警察
Frieza's Army Mothership	弗利薩軍母艦
Frieza's Army Computer	弗利薩軍電腦
Frieza Residual's Base	弗利薩殘黨基地
Frieza Head (Mecha)	弗利薩頭（機械）
Frieza Head (Final Form)	弗利薩頭（最終形態）
Frieza Head (3rd Form)	弗利薩頭（第三形態）
Frieza Head (2nd Form)	弗利薩頭（第二形態）
Frieza Dogi (Mecha)	弗利薩武道服（機械）
Frieza Dogi (Final Form)	弗利薩武道服（最終形態）
Frieza Dogi (3rd Form)	弗利薩武道服（第三形態）
Frieza Dogi (2nd Form)	弗利薩武道服（第二形態）
Fortune Teller Baba's Set Capsule	占卜婆婆套裝膠囊
Football Challenge Gift Box	足球挑戰禮物箱
Focused Dragon	專注之龍
Flying-Fish Bean Saibaman	飛魚豆菜花人
Flying Warhead	舞空彈頭
Flying Squirrel Jet Capsule [30 Days]	舞空松鼠噴射膠囊［30 天］
Flying Sprint Scroll	舞空衝刺卷軸
Flying Smile Kick	舞空微笑踢
Flying Movement.	舞空移動。
Flying Kick	舞空踢
Flying Jet Squirrel [Permanent]	舞空噴射松鼠［永久］
Flying Jet Squirrel [7 Days]	舞空噴射松鼠［7 天］
Flying Jet Squirrel [15 Days]	舞空噴射松鼠［15 天］
Flying Jet Squirrel [1 Day]	舞空噴射松鼠［1 天］
Flying Jet Squirrel Capsule [30 Days]	舞空噴射松鼠膠囊［30 天］
Flying Grasshopper	舞空蚱蜢
