原文	填写中文
Lightweight Alien Coat	輕量外星人外套
CC Fighting Protective Coat	CC 戰鬥防護外套
Bhutto Coat	布托外套
CC Diving Gear	CC 潛水裝
CC High Grade Diving Gear	CC 高級潛水裝
Bhutto Pants	布托下裝
Marshall Leather Pants	馬歇爾皮褲
CC Fighting Protective Pants	CC 戰鬥防護下裝
Older Alien Battle Pants	老牌外星人戰鬥下裝
Purgatory Explorer Pants	煉獄探索者下裝
Sexy Short Pants	性感短褲
Lion Diamond Short Pants	獅鑽短褲
Hot Amethyst Pants	熱紫晶下裝
Ancestral Diamond Combat Shoes	祖先鑽石戰鬥鞋
Older Alien Combat Shoes	老牌外星人戰鬥鞋
Bandit Hunter Shoes	盜賊獵人鞋
Magic Border Shoes	魔法邊境鞋
Bhutto Shoes	布托鞋
Ragged Hero Shoes	破爛英雄鞋
Decaying Hero Shoes.	腐朽英雄鞋。
Invincible Assault Top	無敵突擊上裝
Invincible Assault Pants	無敵突擊下裝
Invincible Assault Shoes	無敵突擊鞋
Stainless White Tiger Top	不鏽白虎上裝
Stainless White Tiger Shoes	不鏽白虎鞋
Stainless White Tiger Pants	不鏽白虎下裝
Gladiator Top	角鬥士上裝
Gladiator Pants	角鬥士下裝
Gladiator Shoes	角鬥士鞋
Tekken Cultivators Top	鐵拳修行者上裝
Tekken Practitioner Top	鐵拳修行者上裝
Tekken Adventurer Top	鐵拳冒險者上裝
Tekken Combat Family Top	鐵拳戰鬥家族上裝
Tekken Protector Top	鐵拳守護者上裝
Invincible Tekken Top	無敵鐵拳上裝
Battle Champion Top	戰鬥冠軍上裝
Tekken Practitioner Pants	鐵拳修行者下裝
Tekken Adventurer Pants	鐵拳冒險者下裝
Tekken Combat Family Pants	鐵拳戰鬥家族下裝
Tekken Protector Pants	鐵拳守護者下裝
Agent Combat Pants	特工戰鬥下裝
Invincible Tekken Pants	無敵鐵拳下裝
Battle Champion Pants	戰鬥冠軍下裝
Tekken Practitioner Shoes	鐵拳修行者鞋
Tekken Adventurer Shoes	鐵拳冒險者鞋
Tekken Combat Family Shoes	鐵拳戰鬥家族鞋
Tekken Protector Shoes	鐵拳守護者鞋
Agent Combat Shoes	特工戰鬥鞋
Invincible Tekken Shoes	無敵鐵拳鞋
Battle Champion Shoes	戰鬥冠軍鞋
Snail Warrior Combat Top	蝸牛戰士戰鬥上裝
Snail Warrior Combat Pants	蝸牛戰士戰鬥下裝
Snail Warrior Combat Shoes	蝸牛戰士戰鬥鞋
Stylish CC Shoes	時尚 CC 鞋
CC Endurance Tech Top	CC 耐力科技上裝
Earth God Magic Equip	地神魔法裝備
Science Sleeveless Top	科學無袖上裝
Five in One Turtle Equip	五合一龜裝備
God Immortal Bird Equip	神不朽鳥裝備
Shell Cotton Pants	貝殼棉下裝
Justice Protector Pants	正義守護者下裝
Crane Wing Woolen Pants	鶴翼毛織下裝
Cool Air Short Pants	涼風短褲
Giant Mushroom Woolen Pants	巨大蘑菇毛織下裝
God Feather Pants	神羽下裝
New Immortal Crane Pants	新不朽鶴下裝
Crystal Gem Cotton Pants	水晶寶石棉下裝
Manolo Blahnik Pants	馬諾洛下裝
New Immortal Turtle Pants	新不朽龜下裝
