原文	填写中文
Adamantine Staff	金剛杖
Certificate	證明書
Change Gender	變更性別
Change Sex	變更性別
Christmas Seiya	聖誕星矢
Triple-Bladed Scythe	三刃鐮刀
To Be Retextured	待重貼圖
Thriller Dance	顫慄之舞
Spinning Star	旋轉之星
Soul Force Py4	靈魂力 Py4
Soul Force Py3	靈魂力 Py3
Soul Force Py2	靈魂力 Py2
Soul Force Py	靈魂力 Py
Soul Force EG4	靈魂力 EG4
Soul Force EG3	靈魂力 EG3
Soul Force EG2	靈魂力 EG2
Soul Force EG	靈魂力 EG
Shadow SovereignStaff-Hakai	影帝杖－破壞
Shadow SovereignStaff-Divine	影帝杖－神性
Shadow SovereignP-N-Hakai	影帝P－那－破壞
Shadow SovereignP-N-Divine	影帝P－那－神性
Shadow SovereignP-M-Hakai	影帝P－魔－破壞
Shadow SovereignP-M-Divine	影帝P－魔－神性
Shadow SovereignP-H-Hakai	影帝P－人－破壞
Shadow SovereignP-H-Divine	影帝P－人－神性
Shadow SovereignG-PY-Hakai	影帝G－PY－破壞
Shadow SovereignG-PY-Divine	影帝G－PY－神性
Shadow SovereignG-EG-Hakai	影帝G－EG－破壞
Shadow SovereignG-EG-Divine	影帝G－EG－神性
Shadow SovereignB-N-Hakai	影帝B－那－破壞
Shadow SovereignB-N-Divine	影帝B－那－神性
Shadow SovereignB-M-Hakai	影帝B－魔－破壞
Shadow SovereignB-M-Divine	影帝B－魔－神性
Shadow SovereignB-H-Hakai	影帝B－人－破壞
Shadow SovereignB-H-Divine	影帝B－人－神性
Shadow SovereignA-N-Hakai	影帝A－那－破壞
Shadow SovereignA-N-Divine	影帝A－那－神性
Shadow SovereignA-M-Hakai	影帝A－魔－破壞
Shadow SovereignA-M-Divine	影帝A－魔－神性
Shadow SovereignA-H-Hakai	影帝A－人－破壞
Shadow SovereignA-H-Divine	影帝A－人－神性
SS Zenoo	SS 全王
SS Priest	SS 神官
SS Angel	SS 天使
SJ2 Martial	SJ2 武道
Raven Body	烏鴉身體
Kubikiribocho Executioners Blade	斷首斬刃
Lightningstormawk	閃電風暴鷹
Firestormawk	火焰風暴鷹
Godofdestructionawk	破壞神鷹
HakaiAscendKit	破壞升階套組
HakaiFrag	破壞碎片
HakaiFragAccessory	破壞碎片飾品
DivineFrag	神性碎片
DivineFragAccessory	神性碎片飾品
GM Only Item	GM 專用道具
FOC Energy	專注能量
FOC Physical	專注物理
Flexarot Lv1	弗萊克薩洛特 Lv1
Flexarot Lv2	弗萊克薩洛特 Lv2
Flexarot Lv3	弗萊克薩洛特 Lv3
Flexarot Lv4	弗萊克薩洛特 Lv4
Candy_ShadowSovereign HAKAI	影帝糖果 破壞
Candy_ShadowSovereign DIVINE	影帝糖果 神性
Candy_DarkSouls HAKAI	暗魂糖果 破壞
Trumpet_ShadowSovereign HAKAI	影帝小號 破壞
Trumpet_ShadowSovereign DIVINE	影帝小號 神性
Trumpet_Darksouls HAKAI	暗魂小號 破壞
TrumpetSS Hakai90	SS 小號 破壞90
ScrollSS Hakai90	SS 卷軸 破壞90
Wand_ShadowSovereign HAKAI	影帝魔杖 破壞
Wand_ShadowSovereign DIVINE	影帝魔杖 神性
Wand_darkSouls HAKAI	暗魂魔杖 破壞
WandSS Hakai90	SS 魔杖 破壞90
Sword_ShadowSovereign HAKAI	影帝劍 破壞
Sword_ShadowSovereign DIVINE	影帝劍 神性
Sword_DarkSouls HAKAI	暗魂劍 破壞
SwordSS Hakai90	SS 劍 破壞90
Stick_ShadowSovereign HAKAI	影帝棍 破壞
Stick_ShadowSovereign DIVINE	影帝棍 神性
Stick_DarkSouls HAKAI	暗魂棍 破壞
StickSS HAKAI90	SS 棍 破壞90
Drums_ShadowSovereign HAKAI	影帝鼓 破壞
Drums_ShadowSovereign DIVINE	影帝鼓 神性
Drums_DarkSouls HAKAI	暗魂鼓 破壞
DrumsSS Hakai90	SS 鼓 破壞90
FAN_ShadowSovereign HAKAI	影帝扇 破壞
FAN_ShadowSovereign DIVINE	影帝扇 神性
FAN_DarkSouls HAKAI	暗魂扇 破壞
FANSS HAKAI90	SS 扇 破壞90
AxeSS Hakai90	SS 斧 破壞90
ClawSS Hakai90	SS 爪 破壞90
ClubSS Hakai90	SS 棒 破壞90
GemSS Hakai90	SS 寶石 破壞90
MaskSS Hakai90	SS 面具 破壞90
Set90_Armor_Hakai_Full_Def	Set90 防具破壞 全防
Set90_Armor_Hakai_Semi_LP	Set90 防具破壞 半LP
Set90_Wpn_Magic_Hakai	Set90 魔法武器破壞
Set90_Wpn_Phys_Hakai	Set90 物理武器破壞
Set90_Wpn_Staff_Hakai	Set90 杖武器破壞
PZ Core	PZ 核心
PZ Essence	PZ 精華
PZ HakaiCrystal	PZ 破壞水晶
PZ HakaiShard	PZ 破壞碎片
POT EP	藥水 EP
POT LP	藥水 LP
CHIP CD	晶片 CD
CHIP CON	晶片 CON
CHIP PROP	晶片 PROP
Harley	哈雷
Imperator	皇帝
Raphtalia	拉芙塔莉雅
Mirko Body	米爾柯身體
Akeno Dogi	朱鳥院愛子武道服
AOT Dogi	進擊的巨人武道服
Blue Espiritualista	藍色精神師
Caliban El Fantasma Azul	卡利班藍幽靈
Caliban El Fantasma Blanco	卡利班白幽靈
Caliban El Fantasma Rojo	卡利班紅幽靈
Caliban El Fantasma Verde	卡利班綠幽靈
Caliban El Fantasma Violeta	卡利班紫幽靈
Dragon Cla Form	龍族形態
Founder01	創辦人01
Founder02	創辦人02
