原文	填写中文
Speeding Beast No.1 [1 Day]	疾馳野獸 1 號［1 天］
Speeding Beast No.1 [7 Days]	疾馳野獸 1 號［7 天］
Speeding Beast No.1 [15 Days]	疾馳野獸 1 號［15 天］
Speeding Beast No.1 [30 Days]	疾馳野獸 1 號［30 天］
Speeding Beast No.1 [90 Days]	疾馳野獸 1 號［90 天］
Speeding Beast No.1 [Permanent]	疾馳野獸 1 號［永久］
Speeding Beast No.2 [1 Day]	疾馳野獸 2 號［1 天］
Speeding Beast No.2 [7 Days]	疾馳野獸 2 號［7 天］
Speeding Beast No.2 [15 Days]	疾馳野獸 2 號［15 天］
Speeding Beast No.2 [30 Days]	疾馳野獸 2 號［30 天］
Speeding Beast No.2 [90 Days]	疾馳野獸 2 號［90 天］
Speeding Beast No.2 [Permanent]	疾馳野獸 2 號［永久］
Speeding Beast No.3 [1 Day]	疾馳野獸 3 號［1 天］
Speeding Beast No.3 [7 Days]	疾馳野獸 3 號［7 天］
Speeding Beast No.3 [15 Days]	疾馳野獸 3 號［15 天］
Speeding Beast No.3 [30 Days]	疾馳野獸 3 號［30 天］
Speeding Beast No.3 [90 Days]	疾馳野獸 3 號［90 天］
Speeding Beast No.3 [Permanent]	疾馳野獸 3 號［永久］
Speeding Beast No.4 [1 Day]	疾馳野獸 4 號［1 天］
Speeding Beast No.4 [7 Days]	疾馳野獸 4 號［7 天］
Speeding Beast No.4 [15 Days]	疾馳野獸 4 號［15 天］
Speeding Beast No.4 [30 Days]	疾馳野獸 4 號［30 天］
Speeding Beast No.4 [90 Days]	疾馳野獸 4 號［90 天］
Speeding Beast No.4 [Permanent]	疾馳野獸 4 號［永久］
Main Weapon2	主武器 2
Activity Rewardd	活動獎勵
Yee Haw	耶哈
Ka Ka	咔咔
Kairi Clothes	凱莉服裝
Flying Nimbus	筋斗雲
Glowing Moon	發光之月
Quick Reload Lv1	快速裝填 Lv1
Quick Reload Lv2	快速裝填 Lv2
Quick Reload Lv3	快速裝填 Lv3
Ki Shot I	氣彈 I
Ki Shot II	氣彈 II
Ki Shot III	氣彈 III
Ki Shot IV	氣彈 IV
Flash Grenade I	閃光榴彈 I
Flash Grenade II	閃光榴彈 II
Flash Grenade III	閃光榴彈 III
Flash Grenade IV	閃光榴彈 IV
