原文	填写中文
Utimate Kami's Awakening	究極神覺醒
Used by Demon Slayer Kamado Tanjiro	鬼滅之刃竈門炭治郎使用
Used by Bardock on Big Bang Mission.	巴達克在 Big Bang Mission 使用。
Urn of Fate	命運之甕
Urgent Detachment Medic	緊急分遣醫兵
Urgent Detachment Artilleryman	緊急分遣砲兵
Urban Turtle	都市龜
Uravity Costume	麗日服裝
Uranai Baba	占卜婆婆
Upgraded Laser Gun	升級雷射槍
Upgrade Thief	強化竊賊
Upgrade Fragment	強化碎片
Upgrade Exchange Nugget	強化交換塊
Updated Survey Directory	更新調查目錄
Upa's Photo	烏帕的照片
Upa's Peculiar Declections	烏帕的奇特收藏
Upa's Friend	烏帕的朋友
Unyielding Stick	不屈之棍
Unyielding	不屈
Unsteady Devil Pirate	不穩惡魔海盜
Unrelenting Biter	無情咬擊者
Unnatural Collections	不自然收藏
Unlucky Civil Robot Parts	倒楣民用機器人零件
Unlucky Civil Robot	倒楣民用機器人
Unlimited Focus Chip 9	無限集中晶片 9
Unlimited Focus Chip 7	無限集中晶片 7
Unlimited Focus Chip 5	無限集中晶片 5
Unlimited Focus Chip 3	無限集中晶片 3
Unlimited Endurance Chip 9	無限耐力晶片 9
Unlimited Endurance Chip 7	無限耐力晶片 7
Unlimited Endurance Chip 5	無限耐力晶片 5
Unlimited Endurance Chip 3	無限耐力晶片 3
Unlimit Trueshot	無限精準射擊
Unlimit Smash	無限猛擊
Unleashed Spirit Power Increase	解放精神威力提升
Unleashed Spirit	解放精神
Unleashed Potential Wonder	解放潛力意魔人
Unleashed Potential Mighty	解放潛力強力
Unleashed Potential	解放潛力
Unknown Substance	未知物質
Unknown Satin	未知緞面
Unknown Garbage	未知垃圾
Unknown Change Bag (Small)	未知變化袋（小）
Unknown Change Bag (Medium)	未知變化袋（中）
Unknown Change Bag (Large)	未知變化袋（大）
Universe's Luckiest	宇宙最幸運者
Universal Repair Item	萬能修理道具
Unique Monsters	獨特怪物
Unintentional Mask	無意面具
Uniform of the Labourers	勞工制服
Uniform Merchant	制服商人
Unicorn Sharp Saibaman Horn	獨角尖銳菜花人角
Unicorn Sharp Saibaman	獨角尖銳菜花人
Unforgivable!	不可原諒！
Unfinished Mecha Samaro	未完成機甲薩馬羅
Unfinished Mecha Mole Cricket	未完成機甲螻蛄
Unfinished Mecha Hornet	未完成機甲黃蜂
Underworld Stick	冥界棍
Understood?	明白了嗎？
Understood.	明白了。
Underium	安德里烏姆
Underground Waterway Exit	地下水道出口
Underground Waterway Entrance	地下水道入口
Underground Base Supervising Officer	地下基地監督官
Underground Base Guarding Warrior	地下基地守衛戰士
Underground Base Exit	地下基地出口
Underground Base Entrance	地下基地入口
