原文	填写中文
Yamcha's Desert	亞姆查的沙漠
Yamcha Desert	亞姆查沙漠
Yam's Letter	亞姆的信
Yam's Coat	亞姆的外套
Yahoi West News	亞霍伊西部新聞
Yahoi West Champion	亞霍伊西部冠軍
Yahoi Tomb Area	亞霍伊墓地區
Yahoi Snowfield	亞霍伊雪原
Yahoi Outside Area	亞霍伊外圍地區
Yahoi Oil Field Bus	亞霍伊油田巴士
Yahoi Maingate	亞霍伊大門
Yahoi Large Mushroom Specialty	亞霍伊大型蘑菇特產
Yahoi Inside Area	亞霍伊內部地區
Yahoi Ice Cave	亞霍伊冰穴
Yahoi History Book	亞霍伊歷史書
Yahoi Gateway	亞霍伊關口
Yahoi Gate	亞霍伊門
Yahoi Fortress West Entrance	亞霍伊要塞西入口
Yahoi Fortress West	亞霍伊要塞西
Yahoi Fortress Spy Robot Core	亞霍伊要塞間諜機器人核心
Yahoi Fortress South Gate	亞霍伊要塞南門
Yahoi Fortress South	亞霍伊要塞南
Yahoi Fortress Report	亞霍伊要塞報告
Yahoi Fortress Gate	亞霍伊要塞大門
Yahoi Fortress East Entrance	亞霍伊要塞東入口
Yahoi Fortress East	亞霍伊要塞東
Yahoi Excavated Material	亞霍伊挖掘材料
Yahoi Crater Area	亞霍伊隕石坑地區
Yahoi Crater	亞霍伊隕石坑
Yahoi Central Area	亞霍伊中央地區
Yadrat's Clothing	亞卓特的服裝
Yadrat Metal	亞卓特金屬
Xeno Gotenks GI	異次元悟天克斯武道服
X-Word Cut	X 字斬
X-Pattern Remote Control	X 型遙控器
Wunana's Empowerment	烏納納的強化
Wu Sha	武沙
Written Code	書寫代碼
Wrecked Robot	毀損機器人
Wounded Youngster	受傷的少年
Wounded Tianjin	受傷的天津飯
Wounded Lapp	受傷的拉普
Worn Out Board	破舊木板
Worm Venom	蟲毒
World's 7 Mysteries	世界七大謎
World Map Button	世界地圖按鈕
World Map	世界地圖
Worker Robot	工作機器人
Worker Devil Pirate	工人惡魔海盜
Work Tools	工作工具
Wordless Mask	無言面具
Wooker Saibaman	烏克菜花人
Woods Strange Pack	森林奇怪包
Woodman Jacques	樵夫雅克
Woodman Abel	樵夫亞伯
Wooden Prison	木牢
Wooden Bucket	木桶
Wood Tiger Scouter	木虎偵察器
Woo Giran	嗚基然
Wonderful Smoke	奇妙煙霧
Wonder Transformation	意魔人變身
Wonder Svaile's Fur	奇妙斯瓦爾毛皮
Wonder Svaile	奇妙斯瓦爾
Wonder Mystic Majin	奇妙神秘魔人
Wonder Majin HTB	意魔人 HTB
Wolf's Tooth5	狼牙 5
Wolf's Head Cap	狼頭帽
Wolf of Bandit	土匪之狼
Wolf Tamer's Whistle	馴狼哨
Wolf Man	狼人
Wolf Jerky	狼肉乾
Wolf Fur Pack	狼毛皮包
Wolf Fur	狼毛皮
Wolf Fang Fist EP Consume Reduce	狼牙拳 EP 消耗降低
Wolf Fang Fist	狼牙拳
Wolf Dog	狼犬
Wolf Canine	狼犬齒
Wizard Staff R	巫師杖 R
Wizard Staff L	巫師杖 L
Wizard Staff EX	巫師杖 EX
Wizard Staff	巫師杖
Withered Tree Roots	枯樹根
Withered Needle Saibaman	枯針菜花人
Withered Magical Walnut Seedling	枯萎魔法核桃幼苗
Witch Spell	女巫咒語
Witch Mountain	女巫山
Witch Forest Way	女巫森林路
Witch Doctor Pirate	巫醫海盜
Witch Beach	女巫海灘
Witch Barren Plains	女巫荒原
Wish List	願望清單
Wireless Popo	無線波波
Wireless Dojo	無線道場
Wireless Detonator	無線引爆器
Winning Claws	勝利之爪
Wing Hunter Gun	翼獵槍
Windmill Hut	風車小屋
Wind Brother	風之兄弟
Will Majin Yima	意志魔人伊瑪
Will Give You a Present!	會給你禮物！
Will Gisborne	威爾·吉斯伯恩
Wildish Tosterian	野生托斯特里安
Wilderness Gao Skin	荒野高皮
Wilderness Gao	荒野高
Wild Tosterian Sample Solution	野生托斯特里安樣本溶液
Wild Sticky Mushroom	野生黏蘑菇
Wild Squad Wolf	野生小隊狼
Wild Spotted Wolf	野生斑點狼
Wild Road Runner	野生走鵑
Wild Race Bird	野生競速鳥
Wild Punching Iron Feet	野生鐵腳重拳
Wild Pancho Recruit	野生潘喬新兵
Wild Pancho Fighter	野生潘喬戰士
Wild Pancho	野生潘喬
Wild Mint	野生薄荷
Wild Keerlanduo	野生基蘭多
Wild Howler	野生嚎叫者
Wild Hound Fur	野生獵犬毛皮
Wild Hound	野生獵犬
Learn about Shadow Sovereign Trumpet material and mixing method.	學習影帝小號材料與調合方法。
Learn about Shadow Sovereign Scroll material and mixing method.	學習影帝卷軸材料與調合方法。
Learn Ancient Warrior Clothes material and mixing method.	學習古代戰士服裝材料與調合方法。
