原文	填写中文
Blood Sacrifice Pants	血祭下裝
Ragged Hero Short Shoes	破爛英雄短鞋
Green Tsunami Shoes	綠色海嘯鞋
Once upon a Warrior Shoes	曾經戰士鞋
Alien Monster Leather Shoes	外星怪物皮鞋
Seeker Shoes	探求者鞋
Manolo Blahnik Shoes	馬諾洛鞋
New Immortal Crane Shoes	新不朽鶴鞋
God Gravity Practitioner Shoes	神重力修行者鞋
Military Trail Shoes	軍徑鞋
Crane Wing Woolen Shoes	鶴翼毛織鞋
Huge Bird Shoes	巨鳥鞋
New Immortal Turtle Shoes	新不朽龜鞋
Destruction Shaft Shoes	破壞軸鞋
Strengthen the Spirit Top	強化精神上裝
Strengthen the Spirit Pants	強化精神下裝
Strengthen the Spirit Shoes	強化精神鞋
Moonlight Essence Pants	月光精華下裝
Moonlight Essence Shoes	月光精華鞋
Moonlight Essence Top	月光精華上裝
Spirit Protector Top	精神守護者上裝
Providence Top	天意上裝
Spiritualist Guarding Pants	氣功師守護下裝
Providence Pants	天意下裝
Spirit Protector Shoes	精神守護者鞋
Providence Shoes	天意鞋
Solitary Soldier	孤獨士兵
Refining Soldier	精煉士兵
Mighty Majin Air King Equip	大魔人空王裝備
Sticky Wood Warrior Top	黏木戰士上裝
Copy Legend Top	複製傳說上裝
Magic Monastic Pants	魔法僧侶下裝
Dyed Grass Pants	染草下裝
Energy Combined Pants	能量組合下裝
Dark Combined Pants	黑暗組合下裝
Refining Warrior Pants	精煉戰士下裝
Green Peace Pants	綠色和平下裝
Cultivation Super Glue Pants	修煉強力膠下裝
Strong Discipline Pants	強紀律下裝
Concentrated Magic Pants	濃縮魔法下裝
Deep Purple Magic Pants	深紫魔法下裝
Crochet Pants	鉤針下裝
Solitary Warrior Pants	孤獨戰士下裝
Narak Combined Pants	納拉克組合下裝
Copy Legend Pants	複製傳說下裝
Earth Essence Shoes	大地精華鞋
Copy Legend Shoes	複製傳說鞋
Obedient Strengthen Shoes	服從強化鞋
Refining Warrior Shoes	精煉戰士鞋
Blood Shoes	血鞋
Solitary Warrior Shoes	孤獨戰士鞋
Meow-Meow Combat Shoes	喵喵戰鬥鞋
Exquisite Gem Shoes	精緻寶石鞋
Elder Practice Shoes	長老修行鞋
Beast Morale Pants	野獸士氣下裝
Beast Morale Shoes	野獸士氣鞋
Black Bear Roar Top	黑熊吼上裝
Black Bear Roar Shoes	黑熊吼鞋
Black Bear Roar Pants	黑熊吼下裝
Brave Warrior Pants	勇敢戰士下裝
Brave Warrior Top	勇敢戰士上裝
Brave Warrior Shoes	勇敢戰士鞋
Ruthless Warrior Top	無情戰士上裝
Ruthless Warrior Pants	無情戰士下裝
Ruthless Warrior Shoes	無情戰士鞋
Military Protector Top	軍護上裝
Secret Intruder Top	秘密入侵者上裝
Invincible Preacher Top	無敵傳道者上裝
Invincible Occult Top	無敵奧秘上裝
Military Protector Pants	軍護下裝
Secret Intruder Pants	秘密入侵者下裝
Invincible Preacher Pants	無敵傳道者下裝
Invincible Occult Pants	無敵奧秘下裝
Military Protector Shoes	軍護鞋
Secret Intruder Shoes	秘密入侵者鞋
Invincible Preacher Shoes	無敵傳道者鞋
Invincible Occult Shoes	無敵奧秘鞋
