原文	填写中文
Vine Pattern Top	藤紋上衣
Vine Pattern Short Pants	藤紋短褲
Vine Pattern Shoes	藤紋鞋子
Vine Pattern Pants	藤紋下裝
Vine Balanced Magic Shoes	藤紋平衡魔法鞋子
Vibrant Radiant Skin Top	活力光澤皮膚上衣
Vibrant Leather Top	活力皮革上衣
Vibrant Full Energy Clothes	活力滿能服裝
Very Muddy Octopus	非常泥濘的章魚
Vegetto Blue Hair from DB Super	超貝吉特藍髮（《超》）
Vegetto Blue Hair	超貝吉特藍髮
Various Artist Suit (Top) EX	百變藝術家套裝（上衣）EX
Various Artist Suit (Shoes) EX	百變藝術家套裝（鞋子）EX
Various Artist Suit (Pants) EX	百變藝術家套裝（下裝）EX
Vampa Trumpet	邦帕小號
Vampa Sword	邦帕劍
Vampa Staff	邦帕杖
Vampa Gloves	邦帕手套
Vampa Axe	邦帕斧
Valentine's Chocolate, 70-Year Vintage [5 BOXES]	情人節巧克力，70 年陳釀［5 箱］
Valentine's Chocolate, 30-Year Vintage [5 BOXES]	情人節巧克力，30 年陳釀［5 箱］
V Surprised Magic Jet Suit (Shoes)	驚喜魔法噴射套裝（鞋子）
V Surprised Magic Jet Suit (Pants)	驚喜魔法噴射套裝（下裝）
V Shooting Star Wave Suit (Top) EX	流星波動套裝（上衣）EX
V Meteor Gunmen Clothes (Shoes) EX	流星槍手服裝（鞋子）EX
V Meteor Gunmen Clothes (Pants) EX	流星槍手服裝（下裝）EX
V God Battle Dragon Gear(Shoes) EX	神之戰鬥龍裝備（鞋子）EX
V Galaxy Lotus Magic Suit (Top) EX	銀河蓮花魔法套裝（上衣）EX
Uzumaki Narumi Hair	渦卷鳴海髮型
Uravity Hair	麗日御茶子髮型
Uplifting Earring	振奮耳環
Upa's Pet Dog	烏帕的寵物狗
Unsparing Claws	毫不留情之爪
Unlimited Potential Suit (Top)	無限潛力套裝（上衣）
Unlimited Potential Suit (Shoes)	無限潛力套裝（鞋子）
Unlimited Potential Suit (Pants)	無限潛力套裝（下裝）
Unlimited Potential Suit(Pants)	無限潛力套裝（下裝）
Unlimited Potential Armor (Top)	無限潛力鎧甲（上衣）
Unlimited Potential Armor (Shoes)	無限潛力鎧甲（鞋子）
Unlimited Potential Armor (Pants)	無限潛力鎧甲（下裝）
Universal Gloves	萬能手套
Unique Horn Necklace	獨特犄角項鍊
Unarmed Gauntlets	徒手護手
Ultra-Nature Loose Magic Pants	超自然寬鬆魔法下裝
Ultra Sin Crane Clothes Z (Top)	超罪鶴服裝 Z（上衣）
Ultra Mirage Resistance Ring L5	超幻影抵抗戒指 L5
Ultra Mirage Resistance Ring L4	超幻影抵抗戒指 L4
Ultra Mirage Resistance Ring L3	超幻影抵抗戒指 L3
Ultra Mirage Resistance Ring L2	超幻影抵抗戒指 L2
Ultra Mirage Resistance Ring L1	超幻影抵抗戒指 L1
Ultra Coating Gloves	超塗層手套
Ultimate Swordsman Mastery	究極劍士精通
Ultimate String Along	究極附和
Ultimate String Alone	究極獨奏
Ultimate Pleasure Suit (Top) EX	究極歡愉套裝（上衣）EX
Ultimate Pleasure Suit (Shoes) EX	究極歡愉套裝（鞋子）EX
Ultimate Pleasure Suit (Pants) EX	究極歡愉套裝（下裝）EX
Ultimate Multiple Sword Slashes	究極多重劍斬
Ultimate Miraculous Cheering	究極奇蹟加油
Ultimate Magical Ring	究極魔法戒指
Ultimate Glaring Slash	究極眩目光斬
Ultimate Draconic Overpowering	究極龍威壓制
Ultimate Curing Scent	究極治癒芳香
Ultimate Battering Armspin	究極重擊旋臂
Ultimate Agile Armor	究極敏捷鎧甲
Ugly Ring	醜陋戒指
Uchiha Sasumi Hair	宇智波佐美髮型
Uchiha Izumi Hair	宇智波泉髮型
U55 Random Upgrade Stone Capsule	U55 隨機強化石膠囊
U53 Random Upgrade Stone Capsule	U53 隨機強化石膠囊
U50 Random Upgrade Stone Capsule	U50 隨機強化石膠囊
U46 Random Upgrade Stone Capsule	U46 隨機強化石膠囊
U42 Random Upgrade Stone Capsule	U42 隨機強化石膠囊
U38 Random Upgrade Stone Capsule	U38 隨機強化石膠囊
U30 Upgrade Stones Capsule (x10)	U30 強化石膠囊（×10）
U30 Upgrade Stones Capsule (5 each)	U30 強化石膠囊（各 5）
U30 Advance Upgrade Stone Capsule	U30 進階強化石膠囊
V!True Dragon Warrior Gear (Top) EX	真·龍戰士裝備（上衣）EX
V#True Dragon Warrior Gear (Shoes) EX	真·龍戰士裝備（鞋子）EX
V#True Dragon Warrior Gear (Pants) EX	真·龍戰士裝備（下裝）EX
V!Tiamat Every Day Clothes (Top) EX	提亞馬特日常服裝（上衣）EX
V!Practitioner Dragon Suit (Top) EX	修行者龍套裝（上衣）EX
V!Parunga Every Day Clothes (Shoes)	波倫伽日常服裝（鞋子）
V!Parunga Every Day Clothes (Pants)	波倫伽日常服裝（下裝）
V!God Magic Dragon Clothes (Top) EX	神魔法龍服裝（上衣）EX
V!God Magic Bucket Clothes (Top) EX	神魔法桶服裝（上衣）EX
V!God Battle Dragon Gear (Pants) EX	神戰鬥龍裝備（下裝）EX
V!Gale Magic Bucket Suit (Shoes) EX	疾風魔法桶套裝（鞋子）EX
V!Gale Magic Bucket Suit (Pants) EX	疾風魔法桶套裝（下裝）EX
V!Dragon Magic Bucket Suit (Top) EX	龍魔法桶套裝（上衣）EX
V!Della Army Pilot Clothes (Top) EX	德拉軍飛行員服裝（上衣）EX
V!Carnival Lotus Magic Suit (Shoes)	嘉年華蓮花魔法套裝（鞋子）
V!Carnival Lotus Magic Suit (Pants)	嘉年華蓮花魔法套裝（下裝）
