原文	填写中文
Spinel Dragon Soul	尖晶石龍魂
Special Sealing Capsule	特殊封印膠囊
Special Equipment Box[10x]	特殊裝備禮包［10×］
Spar with Goku8	與悟空對練 8
Sonny Scott (Gold) Compensation Capsule	索尼·斯科特（金）補償膠囊
Son-Goku Motorcycle Outfit	孫悟空摩托車套裝
Son-Goku Motorcycle Cap	孫悟空摩托車帽
Son Gohan (Great Ape)	孫悟飯（大猿）
Son Gohan	孫悟飯
Smiling Tomb/Smiling Tomb Tombstone	微笑之墓／微笑之墓墓碑
Skill-Prohibiting Capsule	技能禁止膠囊
Skill! Power Up (Mighty Majin)	技能！強化（強力魔人）
Skill! Counter Attack (Mighty Majin)	技能！反擊（強力魔人）
Skill Usage Information	技能使用資訊
Skill Status Icons	技能狀態圖示
Skill Reset Book+ [Movable]	技能重置書＋［可移動］
Skill Reset Book+ [7 Days]	技能重置書＋［7 天］
Skill Reset Book+ [30 Days]	技能重置書＋［30 天］
Skill Reset Book [Vol 5]	技能重置書［第 5 卷］
Skill Reset Book [Vol 1]	技能重置書［第 1 卷］
Skill Reset Book [Vol 10]	技能重置書［第 10 卷］
Skill Reset Book [5x]	技能重置書［5×］
Skill Reset Book [10x]	技能重置書［10×］
Skill Acquisition Information	技能取得資訊
Silver Star No.8 Random Capsule	銀星 8 號隨機膠囊
Silver Coin Ex.	銀幣 Ex.
Silver Chest Key [10x]	銀箱鑰匙［10×］
Signboard Pillar	看板柱
Shy Dragon	害羞之龍
Shu Stone Statue	修石像
Shrimp Fried Dragon	炸蝦龍
Shooting Star Scroll EX	流星卷軸 EX
Shooting Star Scroll	流星卷軸
Shield Namek	盾那美克
Shenron's Rod	神龍之杖
Shenron Wings (Grey)	神龍翼（灰）
Shenron Altar	神龍祭壇
Secret Fly Accelerated Scroll	秘密舞空加速卷軸
Secret Accelerated Fly Scroll	秘密加速舞空卷軸
Secondary Weapon Skills	副武器技能
Second Law of the Demon Stones	惡魔石第二法則
Seal Coin [5x]	封印幣［5×］
Seal Coin [1x]	封印幣［1×］
Seal Coin [10x]	封印幣［10×］
Scroll of Questions	疑問卷軸
Scroll of Origins EX	起源卷軸 EX
Scroll of Glory EX	榮耀卷軸 EX
Scroll of Emptiness EX	虛無卷軸 EX
Scroll of Blazing Grace (Dende)	熾焰恩典卷軸（丹德）
Scroll of Anger EX	憤怒卷軸 EX
Screaming Dragon	悲鳴之龍
Saw-Tooth Child Dragon	鋸齒幼龍
Sasi-Li Monkey	薩西利猴
Samba Rio of Passion	熱情森巴里約
Saiyan Tribe HQ	賽亞族總部
Saiyan Pod Part Components	賽亞艙零件組件
Saiyan Pod Part	賽亞艙零件
Saiyan Pod Engine Components	賽亞艙引擎組件
Saiyan Pod Engine	賽亞艙引擎
Saiyan Pod Design.	賽亞艙設計圖。
Saiyan Pod Design	賽亞艙設計圖
Saiyan Pod Controller Components	賽亞艙控制器組件
Saiyan Pod Controller	賽亞艙控制器
Saiyan Pit	賽亞坑
Saiyan Invasion	賽亞人入侵
Saiyan Blood Society	賽亞血統社團
Saiyan Beast Martial	賽亞野獸武道
Safari Leather Capsule	狩獵皮膠囊
Ruja's Prison Key	魯賈的監獄鑰匙
Royal Korin Jelly	皇家花梨果凍
Rock Throwing - Vegeta	投石－貝吉塔
Robust Evil Buu	健壯邪惡布歐
Roast Insect Brisket [Namek]	烤蟲胸肉［那美克］
Rising Dragon TYPE-A	昇龍 TYPE-A
Rising Dragon TYPE-B	昇龍 TYPE-B
Rising Dragon TYPE-C	昇龍 TYPE-C
Rickettsia Prison Key	立克次體監獄鑰匙
Rice Cooker Capsule	電鍋膠囊
Resurrection Capsule	復活膠囊
