原文	填写中文
[Pet Food] Super Beans	［寵物食物］超級豆
[Pet Food] Raound Beans	［寵物食物］圓豆
[Pet Food] Large Black Beans	［寵物食物］大黑豆
[Pet Egg] Plant Egg	［寵物蛋］植物蛋
[Pet Egg] Mecha Egg	［寵物蛋］機甲蛋
[Pet Egg] Hairy Egg	［寵物蛋］毛毛蛋
[Pet Egg] Gras Plant	［寵物蛋］草植
[Pet Egg] Bow Egg	［寵物蛋］弓蛋
[Pet Egg] Armored Roby	［寵物蛋］裝甲羅比
[CBT] Warrior Capsule Box	［CBT］戰士膠囊禮包
[CBT] Mighty Majin Capsule Box	［CBT］強力魔人膠囊禮包
[CBT] Martial Arts Capsule Box	［CBT］武道膠囊禮包
Zoro Back Swords	索隆背後之劍
Zhu-Bird Wing Top	朱雀翼上衣
Zhu-Bird Wing Pants	朱雀翼下裝
Zhu-Bird Shoes	朱雀鞋
Zero Sword	零之劍
Zero Gravity Battle Armor (Top)	零重力戰鬥鎧甲（上衣）
Zero Gravity Battle Armor (Pants)	零重力戰鬥鎧甲（下裝）
Zero Gravity Battle Armor (Shoes)	零重力戰鬥鎧甲（鞋子）
Zenne's Earings	詹妮的耳環
Zeni Scouter (Copper) [Capsule]	索尼偵察器（銅）［膠囊］
Zabimaru Sword	蛇尾丸之劍
Z War Axe	Z 戰斧
Z Turbo Speed Gauntlets	Z 渦輪速度護手
Z Turbo Gloves	Z 渦輪手套
Z Spring Axe R	Z 彈簧斧 R
Z Spring Axe L	Z 彈簧斧 L
Z Spring Axe EX	Z 彈簧斧 EX
Z Smash Gloves	Z 猛擊手套
Z Refresh Trumpet	Z 提神小號
Z Hurricane Gloves	Z 颶風手套
Yura Valley Bus Stop	尤拉谷公車站
Young Triceratops	幼年三角龍
Young Martial Art Clothes	少年武道服
Young Giran's Gloves	少年吉蘭的手套
Young Dragon Magic Armor (Top)	幼龍魔法鎧甲（上衣）
Young Dragon Magic Armor (Top) EX	幼龍魔法鎧甲（上衣）EX
Young Dragon Magic Armor (Pants)	幼龍魔法鎧甲（下裝）
Young Dragon Magic Armor (Pants) EX	幼龍魔法鎧甲（下裝）EX
Young Dragon Magic Armor (Shoes)	幼龍魔法鎧甲（鞋子）
Young Dragon Magic Armor (Shoes) EX	幼龍魔法鎧甲（鞋子）EX
Yor Assassins Clothes	約爾刺客服
Yogi's Worn Gloves	尤吉的舊手套
Yin & Yan Gentleman Clothes (Top)	陰陽紳士服（上衣）
Yin & Yan Gentleman Clothes (Top) R	陰陽紳士服（上衣）R
Yin & Yan Gentleman Clothes (Top) L	陰陽紳士服（上衣）L
Yin & Yan Gentleman Clothes (Top) EX	陰陽紳士服（上衣）EX
Yin & Yan Gentleman Clothes (Pants)	陰陽紳士服（下裝）
Yin & Yan Gentleman Clothes (Pants) R	陰陽紳士服（下裝）R
Yin & Yan Gentleman Clothes (Pants) L	陰陽紳士服（下裝）L
Yin & Yan Gentleman Clothes (Shoes)	陰陽紳士服（鞋子）
Yin & Yan Gentleman Clothes (Shoes) R	陰陽紳士服（鞋子）R
Yin & Yan Gentleman Clothes (Shoes) L	陰陽紳士服（鞋子）L
Yin & Yan Eye Catching Clothes (Top)	陰陽搶眼服（上衣）
Yin & Yan Eye Catching Clothes (Top) R	陰陽搶眼服（上衣）R
Yin & Yan Eye Catching Clothes (Top) L	陰陽搶眼服（上衣）L
Yin & Yan Eye Catching Clothes (Top) EX	陰陽搶眼服（上衣）EX
Yin & Yan Eye Catching Clothes (Pants)	陰陽搶眼服（下裝）
Yin & Yan Eye Catching Clothes (Pants) R	陰陽搶眼服（下裝）R
Yin & Yan Eye Catching Clothes (Pants) L	陰陽搶眼服（下裝）L
Yin & Yan Eye Catching Clothes (Pants) EX	陰陽搶眼服（下裝）EX
Yin & Yan Eye Catching Clothes (Shoes)	陰陽搶眼服（鞋子）
Yin & Yan Eye Catching Clothes (Shoes) R	陰陽搶眼服（鞋子）R
Yin & Yan Eye Catching Clothes (Shoes) L	陰陽搶眼服（鞋子）L
Yin & Yan Eye Catching Clothes (Shoes) EX	陰陽搶眼服（鞋子）EX
Year Two Thousand Gauntlets	兩千年護手
Xinbao's Lunchbox	辛寶的便當
Wrestle Shoes	摔角鞋
[Synthesis] Stolen Super Earring L1	［合成］盜取的超級耳環 L1
[Synthesis] Stolen Super Earring L2	［合成］盜取的超級耳環 L2
[Synthesis] Stolen Super Earring L3	［合成］盜取的超級耳環 L3
[Synthesis] Stolen Super Earring L4	［合成］盜取的超級耳環 L4
[Synthesis] Stolen Super Earring L5	［合成］盜取的超級耳環 L5
[Synthesis] Palm Magic Suit (Top) EX	［合成］掌心魔法套裝（上衣）EX
[Synthesis] Palm Magic Suit (Pants) EX	［合成］掌心魔法套裝（下裝）EX
[Synthesis] Palm Magic Suit (Shoes) EX	［合成］掌心魔法套裝（鞋子）EX
[Synthesis] Hard Magic Clothes (Top) EX	［合成］硬質魔法服裝（上衣）EX
[Synthesis] Hard Magic Clothes (Pants) EX	［合成］硬質魔法服裝（下裝）EX
[Synthesis] Hard Magic Clothes (Shoes) EX	［合成］硬質魔法服裝（鞋子）EX
[Synthesis] Emerald Battle Gear (Top) EX	［合成］翡翠戰鬥裝備（上衣）EX
[Synthesis] Emerald Battle Gear (Pants) EX	［合成］翡翠戰鬥裝備（下裝）EX
[Synthesis] Emerald Battle Gear (Shoes) EX	［合成］翡翠戰鬥裝備（鞋子）EX
[Synthesis] Rainbow Wooden Trumpet EX	［合成］彩虹木製小號 EX
[Recipe] Ultra-Soft Magic Clothes (Top) L	［配方］超柔軟魔法服裝（上衣）L
[Recipe] Ultra-Soft Magic Clothes (Pants) L	［配方］超柔軟魔法服裝（下裝）L
[Recipe] Ultra-Soft Magic Clothes (Shoes) L	［配方］超柔軟魔法服裝（鞋子）L
[Recipe] Ultra-Conventional Battle Suit (Top) L	［配方］超常規戰鬥套裝（上衣）L
[Recipe] Ultra-Conventional Battle Suit (Pants) L	［配方］超常規戰鬥套裝（下裝）L
[Recipe] Ultra-Conventional Battle Suit (Shoes) L	［配方］超常規戰鬥套裝（鞋子）L
[Recipe] Ultimate Era of Magic Ring TYPE-A	［配方］究極魔法時代戒指 TYPE-A
[Recipe] Ultimate Era of Magic Ring TYPE-C	［配方］究極魔法時代戒指 TYPE-C
[Recipe] Ultimate Era of Magic Necklace TYPE-A	［配方］究極魔法時代項鍊 TYPE-A
[Recipe] Ultimate Era of Magic Necklace TYPE-C	［配方］究極魔法時代項鍊 TYPE-C
[Recipe] Ultimate Era of Magic Earring TYPE-A	［配方］究極魔法時代耳環 TYPE-A
[Recipe] Ultimate Era of Magic Earring TYPE-C	［配方］究極魔法時代耳環 TYPE-C
[Recipe] Ultimate Era of Evil Ring TYPE-B	［配方］究極邪惡時代戒指 TYPE-B
[Recipe] Ultimate Era of Evil Necklace TYPE-B	［配方］究極邪惡時代項鍊 TYPE-B
[Recipe] Ultimate Era of Evil Earring TYPE-B	［配方］究極邪惡時代耳環 TYPE-B
[Recipe] Super-Fantastic Magic Clothes (Top) L	［配方］超奇幻魔法服裝（上衣）L
[Recipe] Super-Fantastic Magic Clothes (Pants) L	［配方］超奇幻魔法服裝（下裝）L
[Recipe] Super-Fantastic Magic Clothes (Shoes) L	［配方］超奇幻魔法服裝（鞋子）L
[Recipe] Super Delicious Magic Clothes (Top) L	［配方］超美味魔法服裝（上衣）L
[Recipe] Super Delicious Magic Clothes (Pants) L	［配方］超美味魔法服裝（下裝）L
[Recipe] Super Delicious Magic Clothes (Shoes) L	［配方］超美味魔法服裝（鞋子）L
[Recipe] EXotic Dragon Suit (Top) EX	［配方］異域龍套裝（上衣）EX
[Recipe] EXotic Dragon Suit (Pants) EX	［配方］異域龍套裝（下裝）EX
[Recipe] EXotic Dragon Suit (Shoes) EX	［配方］異域龍套裝（鞋子）EX
[Recipe] E Insect Exoskeleton Gauntlets EX	［配方］E 昆蟲外骨骼護手 EX
[Recipe] Rainbow Wooden Trumpet EX	［配方］彩虹木製小號 EX
Practitioner Martial Arts Clothes (Pants) L	修行者武道服（下裝）L
Practitioner Martial Arts Clothes (Shoes) L	修行者武道服（鞋子）L
High Quality Martial Arts Clothes (Pants) L	高品質武道服（下裝）L
High Quality Martial Arts Clothes (Shoes) L	高品質武道服（鞋子）L
Della Army Combat Armor (Pants) L	德拉軍戰鬥鎧甲（下裝）L
Della Army Combat Armor (Shoes) L	德拉軍戰鬥鎧甲（鞋子）L
CC Martial Arts Clothes (Pants) L	CC 武道服（下裝）L
CC Martial Arts Clothes (Shoes) L	CC 武道服（鞋子）L
