原文	填写中文
Spirit Skill Tutor Clothes (Top) EX	精神技能導師服裝（上衣）EX
Spirit Skill Tutor Clothes (Shoes) EX	精神技能導師服裝（鞋子）EX
Spirit Skill Tutor Clothes (Pants) EX	精神技能導師服裝（下裝）EX
Spirit Skill Tutor Clothes (Top) R	精神技能導師服裝（上衣）R
Spirit Skill Tutor Clothes (Top) L	精神技能導師服裝（上衣）L
Spirit Skill Tutor Clothes (Shoes) R	精神技能導師服裝（鞋子）R
Spirit Skill Tutor Clothes (Shoes) L	精神技能導師服裝（鞋子）L
Spirit Skill Tutor Clothes (Pants) R	精神技能導師服裝（下裝）R
Spirit Skill Tutor Clothes (Pants) L	精神技能導師服裝（下裝）L
Martial Arts Skill Tutor Clothes (Top) R	武道技能導師服裝（上衣）R
Martial Arts Skill Tutor Clothes (Top) L	武道技能導師服裝（上衣）L
[Martial Art] Skill Set	［武道］技能組
O Skilled Spiritualist Equip (Top)	熟練精神師裝備（上衣）
O Skilled Martial Arts Equip (Top)	熟練武道裝備（上衣）
Used by Vegeta on Saga Buu.	布歐篇貝吉塔使用。
Used by Saiyan Kale.	賽亞人凱勒使用。
Used by Saiyan Caulifla.	賽亞人卡ulifla使用。
Used by Gohan in Mirai Trunks Time Line.	未來特南克斯時間線悟飯使用。
Unskilled Working Robot	不熟練工作機器人
Ultimate Skill Duration Up	究極技能持續時間提升
Turban Piccolo LV3	頭巾短笛 LV3
Tube Dragon	管狀之龍
Trapped Namekian Warrior	受困的那美克戰士
Transforms into Super Saiyan Rose.	變身為超級賽亞人玫瑰。
Transforms into Super Saiyan GOD.	變身為超級賽亞人之神。
Transforms into Super Saiyan Blue.	變身為超級賽亞人藍。
Transforms into Super Saiyan 4.	變身為超級賽亞人4。
Transforms into Super Saiyan 3.	變身為超級賽亞人3。
Transforms into Super Saiyan 2.	變身為超級賽亞人2。
Transforms into Super Saiyan 1.	變身為超級賽亞人1。
Transforms into Great Namek.	變身為巨大那美克。
Transforms into Dark Namek.	變身為黑暗那美克。
Transforms into Buuhan.	變身為布烏漢。
Training-Purpose Devil Dragon	訓練用惡魔之龍
Toughbune Turkey	硬骨火雞
Timid Passenger Saida	膽怯乘客賽達
Time Break Mask King Vegeta	時破面具貝吉塔王
The Terrifying King Piccolo	恐怖的短笛大魔王
The Eternal Dragons's Gift for Warriors	神龍給戰士的禮物
Tarzan Outfit Capsule	泰山造型膠囊
Tapping Stone	敲擊石
Tamtam Child Dragon	譚譚幼龍
T-Rex Dragon	暴龍之龍
Suspension Capsule	懸浮膠囊
Supreme Kai Combination Capsule	界王神合體膠囊
Supply Box for Slave Army	奴隸軍補給禮包
Super Saiyan Potion [Martial Art]	超級賽亞人藥水［武道］
Super Saiyan Blue Evolution Martial	超級賽亞人藍進化武道
Super Saiyan 4 (Daima)	超級賽亞人4（DAIMA）
Super Powerful Scroll of Emptiness	超強力虛無卷軸
Super Giant Stone Body	超巨石身
Super Dragon Gladiator Clothes (Shoes) EX	超龍角鬥士服裝（鞋子）EX
Super Dragon Gladiator Clothes (Pants) EX	超龍角鬥士服裝（下裝）EX
Super Dragon Every Day Clothes (Shoes) EX	超龍日常服裝（鞋子）EX
Super Dragon Every Day Clothes (Pants) EX	超龍日常服裝（下裝）EX
Super Cheat Scroll	超作弊卷軸
Super Capsule Robot Leg	超膠囊機器人腿
Super Capsule Robot Body	超膠囊機器人身
Super Capsule Robot Arm	超膠囊機器手臂
Summer Joy Capsule	夏日歡樂膠囊
Sugilite Dragon Soul	紫鋰輝龍魂
Strange Namekan Art	怪異那美克藝術
Strange Namek Art	怪異那美克藝術
Strange Dragon Frog Tooth	怪異龍蛙牙
Stone-Fist Butt	石拳伯特
Stone Toy [5P]	石頭玩具［5P］
Stone Toy [20P]	石頭玩具［20P］
Stone Toy [10P]	石頭玩具［10P］
Stone Raptor	石迅猛龍
Stone Golem Pirate	石魔像海盜
Stone Fist Burt	石拳伯特
Stone Dragon Fang	石龍牙
Stone Berserk Raptor	狂暴石迅猛龍
Sticky Capsule	黏性膠囊
Spititualist Capsule Lv1	精神師膠囊 Lv1
Spititualist Capsule Lv2	精神師膠囊 Lv2
Spititualist Capsule Lv3	精神師膠囊 Lv3
Spititualist Capsule Lv4	精神師膠囊 Lv4
Spititualist Capsule Lv5	精神師膠囊 Lv5
Spititualist Capsule Lv6	精神師膠囊 Lv6
Spititualist Capsule Lv7	精神師膠囊 Lv7
Spititualist Capsule Lv8	精神師膠囊 Lv8
Spititualist Capsule Lv9	精神師膠囊 Lv9
Spititualist Capsule Lv10	精神師膠囊 Lv10
Spiny Dragon	刺龍
