原文	填写中文
Abyss Martial Arts Clothes (Top)	深淵武道服（上衣）
Abyss Martial Arts Clothes (Pants)	深淵武道服（下裝）
Abyss Martial Arts Clothes (Shoes)	深淵武道服（鞋子）
Agent Battle Armor (Top)	特務戰鬥鎧甲（上衣）
Agent Battle Armor (Pants)	特務戰鬥鎧甲（下裝）
Agent Battle Armor (Shoes)	特務戰鬥鎧甲（鞋子）
Arrival Wave Clothes (Top) EX	到來波服裝（上衣）EX
Arrival Wave Clothes (Pants) EX	到來波服裝（下裝）EX
Arrival Wave Clothes (Shoes) EX	到來波服裝（鞋子）EX
Awakening Every Day Clothes (Top)	每日覺醒服裝（上衣）
Awakening Every Day Clothes (Pants)	每日覺醒服裝（下裝）
Awakening Every Day Clothes (Shoes)	每日覺醒服裝（鞋子）
Awakening Every Day Clothes (Top) EX	每日覺醒服裝（上衣）EX
Awakening Every Day Clothes (Pants) EX	每日覺醒服裝（下裝）EX
Awakening Every Day Clothes (Shoes) EX	每日覺醒服裝（鞋子）EX
Blast Battle Suit (Top)	爆破戰鬥套裝（上衣）
Blast Battle Suit (Pants)	爆破戰鬥套裝（下裝）
Blast Battle Suit (Shoes)	爆破戰鬥套裝（鞋子）
Blast Battle Suit (Top) EX	爆破戰鬥套裝（上衣）EX
Blast Battle Suit (Pants) EX	爆破戰鬥套裝（下裝）EX
Blast Battle Suit (Shoes) EX	爆破戰鬥套裝（鞋子）EX
Dark Soul Gloves TYPE-A	黑暗之魂手套 TYPE-A
Dark Soul Gloves TYPE-B	黑暗之魂手套 TYPE-B
Dark Soul Gloves TYPE-C	黑暗之魂手套 TYPE-C
Dark Soul Gauntlets TYPE-A	黑暗之魂護手 TYPE-A
Dark Soul Gauntlets TYPE-B	黑暗之魂護手 TYPE-B
Dark Soul Gauntlets TYPE-C	黑暗之魂護手 TYPE-C
Earth Spirit Clothes (Top) EX	大地精靈服（上衣）EX
Earth Spirit Clothes (Pants) EX	大地精靈服（下裝）EX
Earth Spirit Clothes (Shoes) EX	大地精靈服（鞋子）EX
Emerald Battle Gear (Top)	翡翠戰鬥裝備（上衣）
Emerald Battle Gear (Pants)	翡翠戰鬥裝備（下裝）
Emerald Battle Gear (Shoes)	翡翠戰鬥裝備（鞋子）
God Dragon Wave Suit (Top) EX	神龍波動套裝（上衣）EX
God Dragon Wave Suit (Pants) EX	神龍波動套裝（下裝）EX
God Dragon Wave Suit (Shoes) EX	神龍波動套裝（鞋子）EX
God Dragon Wave Suit (Top) L	神龍波動套裝（上衣）L
God Dragon Wave Suit (Pants) L	神龍波動套裝（下裝）L
God Dragon Wave Suit (Shoes) L	神龍波動套裝（鞋子）L
God Dragon Wave Suit (Top) R	神龍波動套裝（上衣）R
God Dragon Wave Suit (Pants) R	神龍波動套裝（下裝）R
God Dragon Wave Suit (Shoes) R	神龍波動套裝（鞋子）R
Grand Blood Combat Armor TYPE-A	宏偉血戰鎧甲 TYPE-A
Grand Blood Combat Armor TYPE-B	宏偉血戰鎧甲 TYPE-B
Grand Blood Combat Armor TYPE-C	宏偉血戰鎧甲 TYPE-C
Grand Speed Combat Armor TYPE-A	宏偉速度戰鬥鎧甲 TYPE-A
Grand Speed Combat Armor TYPE-B	宏偉速度戰鬥鎧甲 TYPE-B
Grand Speed Combat Armor TYPE-C	宏偉速度戰鬥鎧甲 TYPE-C
Heavyweight Combat Armor (Top)	重量級戰鬥鎧甲（上衣）
Heavyweight Combat Armor (Pants)	重量級戰鬥鎧甲（下裝）
Heavyweight Combat Armor (Shoes)	重量級戰鬥鎧甲（鞋子）
Heavyweight Combat Armor (Top) EX	重量級戰鬥鎧甲（上衣）EX
Heavyweight Combat Armor (Pants) EX	重量級戰鬥鎧甲（下裝）EX
Heavyweight Combat Armor (Shoes) EX	重量級戰鬥鎧甲（鞋子）EX
Palm Magic Suit (Top)	掌心魔法套裝（上衣）
Palm Magic Suit (Pants)	掌心魔法套裝（下裝）
Palm Magic Suit (Shoes)	掌心魔法套裝（鞋子）
Palm Magic Suit (Top) EX	掌心魔法套裝（上衣）EX
Palm Magic Suit (Pants) EX	掌心魔法套裝（下裝）EX
Palm Magic Suit (Shoes) EX	掌心魔法套裝（鞋子）EX
Rugged Magic Suit (Top) EX	粗獷魔法套裝（上衣）EX
Rugged Magic Suit (Pants) EX	粗獷魔法套裝（下裝）EX
Rugged Magic Suit (Shoes) EX	粗獷魔法套裝（鞋子）EX
Scaled Battle Armor (Top) EX	鱗片戰鬥鎧甲（上衣）EX
Scaled Battle Armor (Pants) EX	鱗片戰鬥鎧甲（下裝）EX
Scaled Battle Armor (Shoes) EX	鱗片戰鬥鎧甲（鞋子）EX
Scaled Dragon Suit (Top) EX	鱗片龍套裝（上衣）EX
Scaled Dragon Suit (Pants) EX	鱗片龍套裝（下裝）EX
Scaled Dragon Suit (Shoes) EX	鱗片龍套裝（鞋子）EX
Vital Magic Suit (Top)	活力魔法套裝（上衣）
Vital Magic Suit (Pants)	活力魔法套裝（下裝）
Vital Magic Suit (Shoes)	活力魔法套裝（鞋子）
