原文	填写中文
Kiri Research Log	桐研究日誌
Numei's Wooden Statue	努梅木雕像
Rusty Handle	生鏽把手
Howling Stick	嚎叫棍
Howling Sword	嚎叫劍
Howling Fan	嚎叫扇
Howling Claws	嚎叫爪
Howling Axe	嚎叫斧
Howling Crystal	嚎叫水晶
Howling Candy	嚎叫糖
Howling Mask	嚎叫面具
Operating Handle	操作把手
RP Blasting Explosives	RP 爆破炸藥
Enhanced Fragment Gloves	強化碎片手套
Special RP Dynamite	特殊 RP 炸藥
Dirty Mask	骯髒面具
Overload Device	過載裝置
Landing Aid Propeller	著陸輔助推進器
Metal Binding Device	金屬束縛裝置
Robert's Empowerment	羅伯特的強化
Garnett's Farm Empowerment	加內特農場的強化
Rabina's Empowerment	拉比娜的強化
Korver's Empowerment	科弗的強化
Amy Lund's Empowerment	艾米·倫德的強化
Red Pants Despatch's Empowerment	紅褲派遣的強化
Duo Luode's Empowerment	杜洛德的強化
Senior Researcher Mid's Empowerment	高級研究員米德的強化
Qiu's Empowerment	邱的強化
Chef Mogg's Empowerment	廚師莫格的強化
Liang Giran's Empowerment	梁吉蘭的強化
Red Pants Military School's Empowerment	紅褲軍校的強化
Dr. Rucio's Empowerment	魯西奧博士的強化
Technical Sergeant's Empowerment	技術士官的強化
Professor Sirkin's Empowerment	瑟金教授的強化
Regular Unit's Empowerment	正規部隊的強化
Jalibah's Empowerment	賈利巴的強化
Gapuri's Empowerment	加普里的強化
Shi Leike's Empowerment	史雷克的強化
Professor Yusa's Empowerment	尤薩教授的強化
Amirada's Empowerment	阿米拉達的強化
Pandoo's Empowerment	潘杜的強化
Sam's Empowerment	山姆的強化
Shiba's Empowerment	柴的強化
Officer Barney's Empowerment	巴尼警官的強化
Ge Di's Empowerment	戈迪的強化
Technician Ken's Empowerment	技師肯的強化
Lu Bola's Empowerment	盧波拉的強化
Kiki's Empowerment	琪琪的強化
Dokka's Empowerment	多卡的強化
Gorz's Empowerment	戈茲的強化
Choka's Empowerment	喬卡的強化
Niyi Luo's Empowerment	尼伊羅的強化
Naomi's Empowerment	直美的強化
Maler's Empowerment	馬勒的強化
Chiron's Empowerment	奇隆的強化
Specific Fungicide	專用殺菌劑
Paella Crew's Empowerment	海鮮飯組的強化
Head Spy Ben's Empowerment	首席間諜本的強化
Bulba's Empowerment	布爾巴的強化
Narakotton Purification Potion	納拉科頓淨化藥水
CC Kiri Collecting Equipment	CC 桐收集設備
Antidote Herb Syringe	解毒草藥注射器
CC Strategy Time Bomb	CC 戰略定時炸彈
Powerful Spot Remover	強力去汙劑
Landscaping Herbicides	景觀除草劑
Nightmare System Controller	惡夢系統控制器
Discharge Starfish	放電海星
Challenger Football Package	挑戰者足球禮包
Heart Football Package	心之足球禮包
Peace Football Package	和平足球禮包
Hope Football Package	希望足球禮包
Assault Football Package	突擊足球禮包
Flame Football Package	火焰足球禮包
God's Warrior Gift	神之戰士禮物
God's Martial Art Gift	神之武道禮物
God's Mighty Majin Gift	神之強力魔人禮物
Resurrection Popo [Other Character]	復活波波［其他角色］
Resurrection Popo (Party)	復活波波（隊伍）
Self Revive Popo	自我復活波波
Self Revive Popo (UTS)	自我復活波波（UTS）
Bitter Tea	苦茶
Turtle Book	烏龜書
Speed Kangaroo 1 [Permanent]	疾速袋鼠 1［永久］
Speed Kangaroo 1 [7 Days]	疾速袋鼠 1［7 天］
Speed Kangaroo 1 [15 Days]	疾速袋鼠 1［15 天］
Speed Kangaroo 2 [Permanent]	疾速袋鼠 2［永久］
Speed Kangaroo 2 [7 Days]	疾速袋鼠 2［7 天］
Speed Kangaroo 3 [Permanent]	疾速袋鼠 3［永久］
Speed Kangaroo 3 [15 Days]	疾速袋鼠 3［15 天］
Speed Kangaroo 3 [90 Days]	疾速袋鼠 3［90 天］
Speed Kangaroo 4 [Permanent]	疾速袋鼠 4［永久］
Speed Kangaroo 4 [30 Days]	疾速袋鼠 4［30 天］
Small Lunch N	小份便當 N
Medium Lunch E	中份便當 E
Large Lunch T	大份便當 T
Pocari Sweat [Water] N	寶礦力［水］N
Cool Surf [Peach] E	酷浪［桃］E
Cool Surf [Mango] T	酷浪［芒果］T
Health Potion (Small)	生命藥水（小）
Health Potion (Medium)	生命藥水（中）
Health Potion (Large)	生命藥水（大）
Health Potion (X)	生命藥水（X）
Energy Potion (Small)	能量藥水（小）
Energy Potion (Medium)	能量藥水（中）
Energy Potion (Large)	能量藥水（大）
Flame Rhino 1 [1 Day]	火焰犀牛 1［1 天］
Flame Rhino 1 [7 Days]	火焰犀牛 1［7 天］
Flame Rhino 1 [15 Days]	火焰犀牛 1［15 天］
Flame Rhino 1 [30 Days]	火焰犀牛 1［30 天］
Flame Rhino 1 [90 Days]	火焰犀牛 1［90 天］
Flame Rhino 2 [1 Day]	火焰犀牛 2［1 天］
Flame Rhino 2 [7 Days]	火焰犀牛 2［7 天］
Flame Rhino 2 [15 Days]	火焰犀牛 2［15 天］
Flame Rhino 2 [30 Days]	火焰犀牛 2［30 天］
Flame Rhino 2 [90 Days]	火焰犀牛 2［90 天］
Flame Rhino 3 [1 Day]	火焰犀牛 3［1 天］
Flame Rhino 3 [7 Days]	火焰犀牛 3［7 天］
Flame Rhino 3 [15 Days]	火焰犀牛 3［15 天］
Flame Rhino 3 [30 Days]	火焰犀牛 3［30 天］
Flame Rhino 3 [90 Days]	火焰犀牛 3［90 天］
